"EventId","EventTemplate","Occurrences"
"E0","('Component', 'State', 'Change:', 'Component', '<*>', 'WWID:', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', 'is', 'in', 'the', 'unavailable', 'state', '<*>')","1"
"E1","('Component', 'State', 'Change:', 'Component', '<*>', 'is', 'in', 'the', 'unavailable', 'state', '<*>')","11"
"E2","('clusterAddMember', '(command', '<*>')","2"
"E3","('risBoot', '(command', '<*>')","1"
"E4","('bootGenvmunix', '(command', '<*>')","2"
"E5","('boot', '(command', '<*>')","67"
"E6","('wait', '(command', '<*>')","66"
"E7","('halt', '(command', '<*>')","3"
"E8","('psu', 'failure\\\\', '<*>')","5"
"E9","('Link', 'in', 'reset')","9"
"E10","('Failed', 'subcommands', '<*>')","1"
"E11","('Command', 'has', 'completed', 'successfully')","10"
"E12","('Command', 'has', 'been', 'aborted')","1"
"E13","('Linkerror', 'event', 'interval', 'expired')","394"
"E14","('link', 'errors', 'remain', 'current')","56"
"E15","('Targeting', 'domains:', 'node-', '<*>', 'and', 'nodes:', 'node-', '<*>', '<*>', 'child', 'of', 'command', '<*>')","5"
"E16","('Targeting', 'domains:', 'node-', '<*>', 'and', 'nodes:', 'node-', '<*>', '<*>', '<*>')","1"
"E17","('Targeting', 'domains:', 'node-', 'D[0\\\\', '<*>', 'and', 'nodes:', 'node-', '<*>', '<*>')","1"
"E18","('Fan', 'speeds', '(', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', ')')","90"
"E19","('Link', 'error', 'on', 'broadcast', 'tree', 'Interconnect-', '<*>', '<*>', '<*>', '<*>')","4"
"E20","('Targeting', 'domains:', 'node-', '<*>', 'and', 'nodes:', 'node-', '<*>')","2"
"E21","('boot', '(command', '<*>', 'Error:', 'HALT', 'asserted\\\\', 'cannot', 'continue')","1"
"E22","('Temperature', '<*>', 'exceeds', 'warning', 'threshold')","2"
"E23","('ClusterFileSystem:', 'There', 'is', 'no', 'server', 'for', 'ServerFileSystem', 'domain', '<*>')","32"
"E24","('ServerFileSystem:', 'An', 'ServerFileSystem', 'domain', 'panic', 'has', 'occurred', 'on', '<*>')","1"
"E25","('NIFF:', 'node', 'node-', '<*>', 'detected', 'a', 'failed', 'network', 'connection', 'on', 'network', '<*>', 'via', 'interface', 'alt0')","2"
"E26","('power/control', 'problem')","1"
"E27","('Link', 'error')","13"
"E28","('Link', 'ok')","13"
"E29","('not', 'responding')","60"
"E30","('configured', 'out')","91"
"E31","('not-', 'responding')","1"
"E32","('ServerFileSystem:', 'ServerFileSystem', 'domain', '<*>', 'is', 'full')","12"
"E33","('ClusterFileSystem:', 'ServerFileSystem', 'domain', '<*>', 'is', 'no', 'longer', 'served', 'by', 'node', 'node-', '<*>')","36"
"E34","('running',)","162"
"E35","('blocked',)","15"
"E36","('active',)","5"
"E37","('starting',)","1"
"E38","('closing',)","1"
"E39","('normal',)","206"
"E40","('warning',)","205"
"E41","('<*>',)","292"
"E42","('critical',)","20"
"E43","('inconsistent', 'nodesets', 'node-', '<*>', '<*>', '<ok>', 'node-', '<*>', '<*>', '<ok>', 'node-', '<*>', '<*>', '<ok>', 'node-', '<*>', '<*>', '<ok>')","2"
"E44","('inconsistent', 'nodesets', 'node-', '<*>', '<*>', '<ok>', 'node-', '<*>', '<*>', '<ok>', 'node-', '<*>', '<*>', '<ok>', 'node-', '<*>', '<*>', '<ok>', 'node-', '<*>', '<*>', '<ok>', 'node-', '<*>', '<*>', '<ok>', 'node-', '<*>', '<*>', '<ok>', 'node-', '<*>', '<*>', '<ok>', 'node-', '<*>', '<*>', '<ok>', 'node-', '<*>', '<*>', '<ok>', 'node-', '<*>', '<*>', '<ok>', 'node-', '<*>', '<*>', '<ok>', 'node-', '<*>', '<*>', '<ok>')","1"
"E45","('inconsistent', 'nodesets', 'node-', '<*>', '0x1fffffffe', '<ok>', 'node-', '<*>', '0xfffffffe', '<ok>', 'node-', '<*>', '0xfffffffe', '<ok>', 'node-', '<*>', '0xfffffffe', '<ok>', 'node-', '<*>', '0xfffffffe', '<ok>')","1"
"E46","('risBoot', '(command', '<*>', 'Error:', 'Timed', 'out', 'while', 'waiting', 'for', 'SRM', 'prompt:', '<ABORT', 'code', 'completed>')","1"
"E47","('NIFF:', 'node', 'node-', '<*>', 'has', 'detected', 'an', 'available', 'network', 'connection', 'on', 'network', '<*>', 'via', 'interface', '<*>')","45"
"E48","('NIFF:', 'node', 'node-', '<*>', 'has', 'detected', 'an', 'available', 'network', 'connection', 'on', 'network', '<*>', 'via', 'interface', 'alt0')","44"
"E49","('NIFF:', 'node', 'node-', '<*>', 'has', 'detected', 'an', 'available', 'network', 'connection', 'on', 'network', '<*>', 'via', 'interface', 'scip0')","2"
