"EventId","EventTemplate","Occurrences"
"E0","('authentication', 'failure;', 'logname=', 'uid=', '<*>', 'euid=', '<*>', 'tty=', 'NODEVssh', 'ruser=', 'rhost=', '<*>')","117"
"E1","('check', 'pass;', 'user', 'unknown')","117"
"E2","('***', 'info', '[mice.c(1766)]:', '')","1"
"E3","('imps2:', 'Auto-detected', 'intellimouse', 'PS/2')","1"
"E4","('ROOT', 'LOGIN', 'ON', 'tty2')","1"
"E5","('Detected', '<*>', 'MHz', 'processor.')","1"
"E6","('Console:', 'colour', 'VGA+', '<*>')","1"
"E7","('Security', 'Scaffold', '<*>', 'initialized')","1"
"E8","('Checking', ""'hlt'"", 'instruction...', 'OK.')","1"
"E9","('Setting', 'network', 'parameters:', 'succeeded')","1"
"E10","('VFS:', 'Disk', 'quotas', 'dquot_6.5.1')","1"
"E11","('removing', 'device', 'node', ""'/udev/vcsa2'"")","2"
"E12","('removing', 'device', 'node', ""'/udev/vcs2'"")","2"
"E13","('creating', 'device', 'node', ""'/udev/vcs2'"")","2"
"E14","('creating', 'device', 'node', ""'/udev/vcsa2'"")","2"
"E15","('CPU:', '<*>', 'cache:', '<*>')","1"
"E16","('ACPI:', 'Subsystem', 'revision', '<*>')","1"
"E17","('PCI:', 'Probing', 'PCI', 'hardware')","1"
"E18","('SELinux:', 'Registering', 'netfilter', 'hooks')","1"
"E19","('authentication', 'failure;', 'logname=', 'uid=', '<*>', 'euid=', '<*>', 'tty=', 'NODEVssh', 'ruser=', 'rhost=', '<*>', 'user=', 'root')","351"
"E20","('authentication', 'failure;', 'logname=', 'uid=', '<*>', 'euid=', '<*>', 'tty=', 'NODEVssh', 'ruser=', 'rhost=', '<*>', 'user=', 'guest')","17"
"E21","('authentication', 'failure;', 'logname=', 'uid=', '<*>', 'euid=', '<*>', 'tty=', 'NODEVssh', 'ruser=', 'rhost=', '<*>', 'user=', 'test')","4"
"E22","('Memory:', '<*>', 'available', '<*>', 'kernel', 'code,', '<*>', 'reserved,', '<*>', 'data,', '<*>', 'init,', '<*>', 'highmem)')","1"
"E23","('session', 'opened', 'for', 'user', 'cyrus', 'by', '(uid=', '<*>')","43"
"E24","('session', 'opened', 'for', 'user', 'news', 'by', '(uid=', '<*>')","43"
"E25","('session', 'opened', 'for', 'user', 'test', 'by', '(uid=', '<*>')","36"
"E26","('session', 'opened', 'for', 'user', 'root', 'by', 'LOGIN(uid=', '<*>')","1"
"E27","('pci_hotplug:', 'PCI', 'Hot', 'Plug', 'PCI', 'Core', 'version:', '<*>')","1"
"E28","('session', 'closed', 'for', 'user', 'cyrus')","43"
"E29","('session', 'closed', 'for', 'user', 'news')","43"
"E30","('session', 'closed', 'for', 'user', 'test')","36"
"E31","('session', 'closed', 'for', 'user', 'root')","1"
"E32","('ALERT', 'exited', 'abnormally', 'with', '<*>')","43"
"E33","('Received', 'SNMP', 'packet(s)', 'from', '<*>')","1"
"E34","('BIOS-provided', 'physical', 'RAM', 'map:', '')","1"
"E35","('mapped', '<*>', 'trampoline', 'to', '<*>')","1"
"E36","('Calibrating', 'delay', 'loop...', '<*>', 'BogoMIPS')","1"
"E37","('POSIX', 'conformance', 'testing', 'by', 'UNIFIX')","1"
"E38","('NET:', 'Registered', 'protocol', 'family', '<*>')","1"
"E39","('audit:', 'initializing', 'netlink', 'socket', '(disabled)')","1"
"E40","('HCI', 'daemon', 'ver', '<*>', 'started')","1"
"E41","('Real', 'Time', 'Clock', 'Driver', '<*>')","1"
"E42","('<*>', '<*>', '-', '<*>', '(usable)')","2"
"E43","('<*>', '<*>', '-', '<*>', '(reserved)')","3"
"E44","('On', 'node', '<*>', 'totalpages:', '<*>')","1"
"E45","('Using', 'tsc', '<*>', 'high-res', 'timesource')","1"
"E46","('SELinux:', 'Starting', '<*>', 'permissive', 'mode')","1"
"E47","('selinux_register_security:', 'Registering', '<*>', 'module', 'capability')","1"
"E48","('Total', 'HugeTLB', '<*>', 'allocated,', '<*>')","1"
"E49","('Bringing', 'up', '<*>', 'interface:', 'succeeded')","1"
"E50","('Intel', 'machine', 'check', 'architecture', 'supported.')","1"
"E51","('Initializing', 'random', 'number', 'generator:', 'succeeded')","1"
"E52","('PCI:', 'Using', 'configuration', 'type', '<*>')","1"
"E53","('isapnp:', 'Scanning', 'for', 'PnP', 'cards...')","1"
"E54","('usbcore:', 'registered', 'new', 'driver', 'usbfs')","1"
"E55","('usbcore:', 'registered', 'new', 'driver', 'hub')","1"
"E56","('connection', 'from', '<*>', '<*>', 'at', '<*>', 'Jun', '<*>', '<*>', '<*>')","162"
"E57","('connection', 'from', '<*>', '<*>', 'at', '<*>', 'Jul', '<*>', '<*>', '<*>')","747"
"E58","('Dentry', 'cache', 'hash', 'table', 'entries:', '<*>', '(order:', '<*>', '<*>', 'bytes)')","1"
"E59","('PCI:', 'Using', 'IRQ', 'router', 'PIIX/ICH', '<*>', 'at', '<*>', '<*>', '<*>')","1"
"E60","('User', 'unknown', 'timed', 'out', 'after', '<*>', 'seconds', 'at', 'Sat', 'Jun', '<*>', '<*>', '<*>')","1"
"E61","('authentication', 'failure;', 'logname=', 'uid=', '<*>', 'euid=', '<*>', 'tty=', ':', '<*>', 'ruser=', 'rhost=', '')","1"
"E62","('cupsd', 'shutdown', 'succeeded')","6"
"E63","('cupsd', 'startup', 'succeeded')","6"
"E64","('Kerberos', 'authentication', 'failed')","23"
"E65","(""Couldn't"", 'authenticate', '<*>')","1"
"E66","('<*>', 'HIGHMEM', '<*>')","1"
"E67","('<*>', 'LOWMEM', '<*>')","1"
"E68","('Capability', 'LSM', '<*>')","1"
"E69","('ACPI:', 'Interpreter', '<*>')","1"
"E70","('Starting', 'pcmcia:', '<*>')","1"
"E71","('<*>', '<*>', '<*>')","1"
"E72","('sdpd', '<*>', '<*>')","1"
"E73","('Initializing', 'Cryptographic', '<*>')","1"
"E74","('syslogd', 'startup', 'succeeded')","1"
"E75","('irqbalance', 'startup', 'succeeded')","1"
"E76","('portmap', 'startup', 'succeeded')","1"
"E77","('rpc.statd', 'startup', 'succeeded')","1"
"E78","('rpc.idmapd', 'startup', 'succeeded')","1"
"E79","('hcid', 'startup', 'succeeded')","1"
"E80","('zapping', 'low', 'mappings.')","1"
"E81","('DMI', '<*>', 'present.')","1"
"E82","('Built', '<*>', 'zonelists')","1"
