"EventId","EventTemplate","Occurrences"
"E0","('<*>', '""GET', '<*>', '<*>', 'len:', '<*>', 'time:', '<*>')","931"
"E1","('<*>', '""POST', '<*>', '<*>', 'len:', '<*>', 'time:', '<*>')","64"
"E2","('<*>', '""DELETE', '<*>', '<*>', 'len:', '<*>', 'time:', '<*>')","22"
"E3","('[instance:', '<*>', 'Took', '<*>', 'seconds', 'to', 'build', 'instance.')","22"
"E4","('Auditing', 'locally', 'available', 'compute', 'resources', 'for', 'node', '<*>')","15"
"E5","('Total', 'usable', 'vcpus:', '<*>', 'total', 'allocated', 'vcpus:', '<*>')","15"
"E6","('[instance:', '<*>', 'VM', 'Started', '(Lifecycle', 'Event)')","22"
"E7","('[instance:', '<*>', 'VM', 'Paused', '(Lifecycle', 'Event)')","22"
"E8","('[instance:', '<*>', 'VM', 'Resumed', '(Lifecycle', 'Event)')","44"
"E9","('[instance:', '<*>', 'VM', 'Stopped', '(Lifecycle', 'Event)')","21"
"E10","('Creating', 'event', '<*>', 'for', 'instance', '<*>')","22"
"E11","('[instance:', '<*>', 'Deleting', 'instance', 'files', '<*>')","21"
"E12","('Removing', 'base', 'or', 'swap', 'file:', '<*>')","21"
"E13","('Successfully', 'synced', 'instances', 'from', 'host', '<*>')","2"
"E14","('[instance:', '<*>', 'During', 'sync_power_state', 'the', 'instance', 'has', 'a', 'pending', 'task', '(spawning).', 'Skip.')","43"
"E15","('[instance:', '<*>', 'Took', '<*>', 'seconds', 'to', 'spawn', 'the', 'instance', 'on', 'the', 'hypervisor.')","22"
"E16","('[instance:', '<*>', 'Took', '<*>', 'seconds', 'to', 'destroy', 'the', 'instance', 'on', 'the', 'hypervisor.')","21"
"E17","('The', 'instance', 'sync', 'for', 'host', '<*>', 'did', 'not', 'match.', 'Re-created', 'its', 'InstanceList.')","5"
"E18","('image', '<*>', 'at', '<*>')","82"
"E19","('Active', 'base', 'files:', '<*>')","82"
"E20","('[instance:', '<*>', 'Terminating', 'instance')","22"
"E21","('Unknown', 'base', 'file:', '<*>')","30"
"E22","('Removable', 'base', 'files:', '<*>')","30"
"E23","('[instance:', '<*>', 'Claim', 'successful')","21"
"E24","('[instance:', '<*>', 'Creating', 'image')","21"
"E25","('image', '<*>', 'at', '<*>', 'use:', 'on', 'this', 'node', '<*>', 'local,', '<*>', 'on', 'other', 'nodes', 'sharing', 'this', 'instance', 'storage')","82"
"E26","('[instance:', '<*>', 'Instance', 'spawned', 'successfully.')","22"
"E27","('[instance:', '<*>', 'Instance', 'destroyed', 'successfully.')","22"
"E28","('Compute_service', 'record', 'updated', 'for', '<*>')","15"
"E29","('[instance:', '<*>', 'Deletion', 'of', '<*>')","21"
"E30","('Final', 'resource', 'view:', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', 'pci_stats=[]')","15"
"E31","('[instance:', '<*>', 'Took', '<*>', 'seconds', 'to', 'deallocate', 'network', 'for', 'instance.')","21"
"E32","('HTTP', 'exception', 'thrown:', 'No', 'instances', 'found', 'for', 'any', 'event')","21"
"E33","('[instance:', '<*>', 'Total', 'memory:', '<*>', 'MB,', 'used:', '<*>', 'MB')","21"
"E34","('[instance:', '<*>', 'Total', 'disk:', '<*>', 'GB,', 'used:', '<*>', 'GB')","21"
"E35","('[instance:', '<*>', 'Total', 'vcpu:', '<*>', 'VCPU,', 'used:', '<*>', 'VCPU')","21"
"E36","('[instance:', '<*>', 'memory', 'limit:', '<*>', 'MB,', 'free:', '<*>', 'MB')","21"
"E37","('[instance:', '<*>', 'disk', 'limit', 'not', 'specified,', 'defaulting', 'to', 'unlimited')","21"
"E38","('[instance:', '<*>', 'vcpu', 'limit', 'not', 'specified,', 'defaulting', 'to', 'unlimited')","21"
"E39","('Base', 'or', 'swap', 'file', 'too', 'young', 'to', 'remove:', '<*>')","9"
"E40","('[instance:', '<*>', 'Attempting', 'claim:', 'memory', '<*>', 'MB,', 'disk', '<*>', 'GB,', 'vcpus', '<*>', 'CPU')","21"
"E41","('Running', 'instance', 'usage', 'audit', 'for', 'host', '<*>', 'from', '<*>', '<*>', 'to', '<*>', '<*>', '<*>', 'instances.')","1"
"E42","('While', 'synchronizing', 'instance', 'power', 'states,', 'found', '<*>', 'instances', 'in', 'the', 'database', 'and', '<*>', 'instances', 'on', 'the', 'hypervisor.')","1"
