"EventId","EventTemplate","Occurrences"
"E0","('session', 'closed', 'for', 'user', 'root')","24"
"E1","('synchronized', 'to', '<*>', 'stratum', '<*>')","566"
"E2","('synchronized', 'to', 'LOCAL(0),', 'stratum', '<*>')","1"
"E3","('synchronized', 'to', '#3#,', 'stratum', '<*>')","1"
"E4","('[ib_sm_sweep.c:', '<*>', 'No', 'topology', 'change')","62"
"E5","('kernel', 'time', 'sync', 'disabled', '<*>')","1"
"E6","('kernel', 'time', 'sync', 'enabled', '<*>')","1"
"E7","('Received', 'SNMP', 'packet(s)', 'from', '<*>')","1"
"E8","('HPET', 'id:', '0xffffffff', 'base:', '<*>')","1"
"E9","('<*>', 'USB', 'HID', 'core', 'driver')","1"
"E10","('CentOS-4', '(Kernel', 'Module', 'GPG', 'key)')","1"
"E11","('Probing', 'PCI', 'hardware', '(bus', '<*>')","1"
"E12","('assuming', 'drive', 'cache:', 'write', 'through')","1"
"E13","('Creating', 'Topspin', '/dev', 'entries:', '')","1"
"E14","('Started', 'working:', '<*>', 'available', 'service')","1"
"E15","('LAPIC_NMI', '<*>', 'high', 'edge', 'lint[0x1])')","4"
"E16","('(C)', '<*>', 'Netfilter', 'core', 'team')","4"
"E17","('PCI', 'Interrupt', 'Routing', 'Table', '<*>')","10"
"E18","('Using', 'IOAPIC', 'for', 'interrupt', 'routing')","1"
"E19","('Using', 'ACPI', 'for', 'IRQ', 'routing')","1"
"E20","('Direct-Access', 'ANSI', 'SCSI', 'revision:', '<*>')","1"
"E21","('Processor', 'ANSI', 'SCSI', 'revision:', '<*>')","1"
"E22","('Now', 'running', 'on', '<*>', 'privileges.')","2"
"E23","('asking', 'for', 'cache', 'data', 'failed')","1"
"E24","('Using', '<*>', 'MHz', 'HPET', 'timer.')","1"
"E25","('session', 'opened', 'for', 'user', 'root', 'by', '(uid=', '<*>')","19"
"E26","('data_thread()', 'got', 'not', 'answer', 'from', 'any', '<*>', 'datasource')","819"
"E27","('Trace', 'cache:', '<*>', 'uops,', '<*>', 'D', 'cache:', '<*>')","5"
"E28","('apic_id', '<*>', 'version', '<*>', 'address', '<*>', 'GSI', '<*>')","3"
"E29","('routing', 'cache', 'hash', 'table', 'of', '<*>', 'buckets,', '<*>')","1"
"E30","('MegaRAID', 'Model:', 'LD', '<*>', 'RAID1', '<*>', 'Rev:', '<*>')","1"
"E31","('scanning', 'scsi', 'channel', '<*>', '[virtual]', 'for', 'logical', 'drives')","1"
"E32","('<*>', 'AUX', 'port', 'at', '<*>', '<*>', 'irq', '<*>')","1"
"E33","('<*>', 'KBD', 'port', 'at', '<*>', '<*>', 'irq', '<*>')","1"
"E34","('(root)', 'CMD', '(run-parts', '<*>')","14"
"E35","('(root)', 'CMD', '(/projects/tbird/temps/get_temps', '<*>')","5"
"E36","('<*>', 'disconnected:', 'Connection', 'closed.')","3"
"E37","('<*>', 'lost:', ""'Connection"", ""closed.'"")","3"
"E38","('<*>', 'used', 'by', 'override.')","3"
"E39","('time', 'reset', '<*>', 's')","1"
"E40","('(supports', '<*>', '<*>', '<*>')","1"
"E41","('Power', 'Button', '(FF)', '[PWRF]')","1"
"E42","('Mounted', 'root', '(ext2', 'filesystem).')","1"
"E43","('initializing', 'netlink', 'socket', '(disabled)')","1"
"E44","('4.1.0-ioctl', '<*>', 'initialised:', '<*>')","1"
"E45","('no', 'floppy', 'controllers', 'found')","1"
"E46","('LSI', 'Logic', 'MegaRAID', 'driver')","1"
"E47","('sda1', 'sda2', 'sda3', 'sda4')","1"
"E48","('<*>', '<*>', '<*>', 'gsi_base[0])')","1"
"E49","('<*>', '<*>', '<*>', 'gsi_base[32])')","1"
"E50","('<*>', '(id[0x0a]', '<*>', 'gsi_base[64])')","1"
"E51","('<*>', 'APIC', 'address', '<*>')","1"
"E52","('<*>', 'MMCONFIG', 'at', '<*>')","1"
"E53","('<*>', 'in', 'permissive', 'mode')","1"
"E54","('<*>', 'public', 'key', 'data')","1"
"E55","('<*>', 'secondary', 'module', 'capability')","1"
"E56","('<*>', 'version', '<*>', 'starting')","1"
"E57","('<*>', '<*>', 'MHz', 'processor.')","1"
"E58","('<*>', 'HPET', 'based', 'timekeeping.')","1"
"E59","('LAPIC', '<*>', '<*>', 'enabled)')","4"
"E60","('Processor', '<*>', '<*>', '<*>')","4"
"E61","('registered', '<*>', '<*>', 'hiddev')","1"
"E62","('registered', '<*>', '<*>', 'hub')","1"
"E63","('registered', '<*>', '<*>', 'usbfs')","1"
"E64","('registered', '<*>', '<*>', 'usbhid')","1"
"E65","('Physical', 'Processor', 'ID:', '<*>')","5"
"E66","('Registered', 'protocol', 'family', '<*>')","5"
"E67","('Using', 'configuration', 'type', '<*>')","1"
"E68","('allocating', 'divert_blk', 'for', 'eth0')","1"
"E69","('allocating', 'divert_blk', 'for', 'eth1')","1"
"E70","('Mounting', 'NFS', 'filesystems:', 'succeeded')","1"
"E71","('Mounting', 'other', 'filesystems:', 'failed')","1"
"E72","('[ib_sm_sweep.c:', '<*>', '**********************', 'NEW', 'SWEEP', '********************')","62"
"E73","('[ib_sm_sweep.c:', '<*>', 'No', 'configuration', 'change', 'required')","62"
"E74","('START:', 'tftp', 'pid=', '<*>', 'from=', '<*>')","1"
"E75","('Intel(R)', 'Xeon(TM)', 'CPU', '<*>', 'stepping', '<*>')","1"
"E76","('fw', 'version:', '<*>', 'bios', 'version:', '<*>')","1"
"E77","('<*>', 'Root', 'Bridge', '[PCI0]', '<*>', '<*>')","1"
"E78","('<*>', '<*>', 'DELL', ')', '@', '<*>')","1"
"E79","('<*>', 'bridge', '-', '<*>', '<*>', '<*>')","1"
"E80","('<*>', 'image', 'found', 'at', 'block', '<*>')","1"
"E81","('<*>', 'permissions', 'on', 'special', 'file', '/dev/logsurfer')","1"
"E82","('mounted', 'filesystem', 'with', 'ordered', 'data', 'mode.')","3"
"E83","('eth0:', '<*>', 'Intel(R)', '<*>', 'Network', 'Connection')","1"
"E84","('eth1:', '<*>', 'Intel(R)', '<*>', 'Network', 'Connection')","1"
"E85","('User', '<*>', 'coming', 'from', '<*>', 'authenticated.')","2"
"E86","('unable', 'to', 'qualify', 'my', 'own', 'domain', 'name', '<*>', '--', 'using', 'short', 'name')","10"
"E87","('DHCPOFFER', 'on', '<*>', 'to', '<*>', '<*>', '<*>', '<*>', 'ba:', '<*>', 'via', 'eth1')","5"
"E88","('DHCPACK', 'on', '<*>', 'to', '<*>', '<*>', '<*>', '<*>', 'ba:', '<*>', 'via', 'eth1')","3"
"E89","('Assuming', '<*>', 'system', 'bus', 'speed', 'for', 'PIO', 'modes;', 'override', 'with', 'idebus=', 'xx')","1"
"E90","('error:', 'Bind', 'to', 'port', '<*>', 'on', '<*>', 'failed:', 'Address', 'already', 'in', 'use.')","1"
"E91","('Device:', '/dev/sda,', 'Temperature', 'changed', '<*>', 'Celsius', 'to', '<*>', 'Celsius', 'since', 'last', 'report')","1"
"E92","('<*>', 'from=', 'root,', 'size=', '<*>', 'class=', '<*>', 'nrcpts=', '<*>', 'msgid=', '<*>', 'relay=', '#7#@localhost')","10"
"E93","('DHCPREQUEST', 'for', '<*>', '<*>', 'from', '<*>', '<*>', '<*>', '<*>', 'ba:', '<*>', 'via', 'eth1')","3"
"E94","('PCI', 'Interrupt', 'Link', '[LNKB]', '(IRQs', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>')","1"
"E95","('PCI', 'interrupt', '<*>', '<*>', '<*>', '->', 'GSI', '<*>', '(level,', 'low)', '->', 'IRQ', '<*>')","11"
"E96","('root=', 'LABEL=', '/', 'initrd=', '/x86_64/initrd-2.6.9-5.0.5.EL-lustre-1.4.2-perfctr-admin', 'console=', 'tty0', 'console=', 'ttyS0,', '<*>', 'fastboot', 'BOOT_IMAGE=', '/x86_64/vmlinuz-2.6.9-5.0.5.EL-lustre-1.4.2-perfctr')","1"
"E97","('probe', 'new', 'device', '<*>', '<*>', '<*>', '<*>', 'bus', '<*>', 'slot', '<*>', 'func', '<*>')","1"
"E98","('<*>', 'to=', 'root,', 'ctladdr=', 'root', '<*>', 'delay=', '<*>', '<*>', '<*>', 'xdelay=', '<*>', '<*>', '<*>', 'mailer=', 'relay,', 'pri=', '<*>', 'relay=', '<*>', '<*>', 'dsn=', '<*>', 'stat=', 'Deferred:', 'Connection', 'refused', 'by', '<*>')","10"
"E99","('DHCPDISCOVER', 'from', '<*>', '<*>', '<*>', '<*>', 'ba:', '<*>', 'via', 'eth1')","5"
"E100","('<*>', '<*>', 'DELL', 'PE', 'BKC', '<*>', 'MSFT', '<*>', '@', '<*>')","7"
"E101","('sys_ia32.c,', 'v', '<*>', '<*>', '<*>', '<*>', '<*>', 'ak', 'Exp', '$')","1"
"E102","('eth0:', 'e1000_watchdog:', 'NIC', 'Link', 'is', 'Up', '<*>', 'Mbps', 'Full', 'Duplex')","1"
"E103","('Warning:', 'we', 'failed', 'to', 'resolve', 'trusted', 'host', 'name', 'dadmin3', 'dadmin4')","1"
"E104","('xinetd', 'Version', '<*>', 'started', 'with', 'libwrap', 'loadavg', 'options', 'compiled', 'in.')","1"
"E105","('DHCPDISCOVER', 'from', '<*>', '<*>', '<*>', '<*>', 'ba:', '<*>', 'via', 'eth1:', 'network', 'A_net:', 'no', 'free', 'leases')","15"
"E106","('PCI', 'Interrupt', 'Link', '<*>', '(IRQs', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', 'disabled.')","5"
"E107","('DHCPREQUEST', 'for', '<*>', '<*>', 'from', '<*>', '<*>', '<*>', '<*>', 'ba:', '<*>', 'via', 'eth1:', 'unknown', 'lease', '<*>')","9"
"E108","('RRD_update', '(/var/lib/ganglia/rrds/C', 'Nodes/cn304/pkts_out.rrd):', 'illegal', 'attempt', 'to', 'update', 'using', 'time', '<*>', 'when', 'last', 'update', 'time', 'is', '<*>', '(minimum', 'one', 'second', 'step)')","1"
"E109","('RRD_update', '(/var/lib/ganglia/rrds/D', 'Nodes/dn731/pkts_out.rrd):', 'illegal', 'attempt', 'to', 'update', 'using', 'time', '<*>', 'when', 'last', 'update', 'time', 'is', '<*>', '(minimum', 'one', 'second', 'step)')","8"
"E110","('RRD_update', '(/var/lib/ganglia/rrds/C', 'Nodes/cn776/pkts_out.rrd):', 'illegal', 'attempt', 'to', 'update', 'using', 'time', '<*>', 'when', 'last', 'update', 'time', 'is', '<*>', '(minimum', 'one', 'second', 'step)')","1"
"E111","('My', 'unqualified', 'host', 'name', '<*>', 'unknown;', 'sleeping', 'for', 'retry')","5"
"E112","('INT_SRC_OVR', '(bus', '<*>', 'bus_irq', '<*>', 'global_irq', '<*>', 'dfl', 'dfl)')","1"
