"EventId","EventTemplate","Occurrences"
"E0","('Loaded', 'Servicing', 'Stack', '<*>', 'with', 'Core:', 'C:', '\\\\Windows\\\\winsxs\\\\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.1.7601.23505_none_681aa442f6fed7f0\\\\cbscore.dll')","2"
"E1","('<*>', '<*>', '<*>', '<*>', 'CSI', 'perf', 'trace:', '')","3"
"E2","('NonStart:', 'Success,', 'startup', 'processing', 'not', 'required', 'as', 'expected.')","2"
"E3","('<*>', '<*>', '<*>', '<*>', 'WcpInitialize', '(wcp.dll', 'version', '<*>', 'called', '(stack', '<*>')","6"
"E4","('Failed', 'to', 'get', 'next', 'element', '[', 'HRESULT', '=', '<*>', 'CBS_E_MANIFEST_INVALID_ITEM]', '')","224"
"E5","('Failed', 'to', 'internally', 'open', 'package.', '[', 'HRESULT', '=', '<*>', 'CBS_E_INVALID_PACKAGE]', '')","18"
"E6","('<*>', 'Performing', '<*>', 'operations;', '<*>', 'are', 'not', 'lock/unlock', 'and', 'follow:', '')","1"
"E7","('Ending', 'TrustedInstaller', 'initialization.')","2"
"E8","('Starting', 'TrustedInstaller', 'finalization.')","1"
"E9","('Ending', 'TrustedInstaller', 'finalization.')","1"
"E10","('Starting', 'TrustedInstaller', 'initialization.')","1"
"E11","('Starting', 'the', 'TrustedInstaller', 'main', 'loop.')","2"
"E12","('Startup', 'processing', 'thread', 'terminated', 'normally')","2"
"E13","('Idle', 'processing', 'thread', 'terminated', 'normally')","1"
"E14","('Ending', 'the', 'TrustedInstaller', 'main', 'loop.')","1"
"E15","('<*>', 'CSI', 'Store', '<*>', '<*>')","3"
"E16","('Unloading', 'offline', 'registry', 'hive:', '<*>')","8"
"E17","('TrustedInstaller', 'service', 'starts', 'successfully.')","2"
"E18","('Warning:', 'Unrecognized', 'packageExtended', 'attribute.')","280"
"E19","('Scavenge:', 'Begin', 'CSI', 'Store')","1"
"E20","('Scavenge:', 'Completed,', 'disposition:', '<*>')","1"
"E21","('Reboot', 'mark', 'refs:', '<*>')","1"
"E22","('Offline', 'image', 'is:', 'read-only')","1"
"E23","('SQM:', 'Initializing', 'online', 'with', 'Windows', 'opt-in:', 'False')","2"
"E24","('SQM:', 'Requesting', 'upload', 'of', 'all', 'unsent', 'reports.')","2"
"E25","('<*>', '<*>', '<*>', '<*>', 'CSI', 'Transaction', '<*>')","1"
"E26","('<*>', '<*>', '<*>', '<*>', 'PopulateComponentFamiliesKey', '-', 'Begin')","1"
"E27","('<*>', '<*>', '<*>', '<*>', 'PopulateComponentFamiliesKey', '-', 'End')","1"
"E28","('SQM:', 'Cleaning', 'up', 'report', 'files', 'older', 'than', '<*>', 'days.')","2"
