,GA,FGA,PA,SA,RPA@0.7,FTA,PTA,RTA,identified_templates,ground_templates
HDFS,0.997500,0.866667,0.000000,0.575855,0.122000,0.000000,0.000000,0.000000,16.000000,14.000000
Hadoop,0.947500,0.820276,0.108500,0.687276,0.612500,0.202765,0.213592,0.192982,103.000000,114.000000
Spark,0.920000,0.769231,0.193500,0.680763,0.397000,0.307692,0.344828,0.277778,29.000000,36.000000
Zookeeper,0.966500,0.854167,0.497000,0.890526,0.789000,0.354167,0.369565,0.340000,46.000000,50.000000
BGL,0.962500,0.833333,0.341000,0.719020,0.313000,0.201754,0.212963,0.191667,108.000000,120.000000
HPC,0.887000,0.752688,0.619500,0.822185,0.727500,0.344086,0.340426,0.347826,47.000000,46.000000
Thunderbird,0.955000,0.773414,0.160500,0.789981,0.589000,0.290030,0.263736,0.322148,182.000000,149.000000
Windows,0.997000,0.932039,0.159000,0.869639,0.700500,0.407767,0.396226,0.420000,53.000000,50.000000
Linux,0.690000,0.930435,0.201000,0.537243,0.214000,0.382609,0.392857,0.372881,112.000000,118.000000
Android,0.911000,0.824926,0.709000,0.720233,0.545500,0.664688,0.654971,0.674699,171.000000,166.000000
HealthApp,0.780000,0.351421,0.238000,0.576109,0.362500,0.144703,0.089744,0.373333,312.000000,75.000000
Apache,1.000000,1.000000,0.693500,0.744910,0.693500,0.500000,0.500000,0.500000,6.000000,6.000000
Proxifier,0.526500,0.538462,0.000000,0.477567,0.503500,0.000000,0.000000,0.000000,18.000000,8.000000
OpenSSH,0.787500,0.823529,0.506500,0.644145,0.220000,0.392157,0.416667,0.370370,24.000000,27.000000
OpenStack,0.732500,0.116959,0.018500,0.446917,0.105500,0.017544,0.010033,0.069767,299.000000,43.000000
Mac,0.786500,0.797279,0.224000,0.724698,0.584000,0.204082,0.190355,0.219941,394.000000,341.000000
Average,0.865438,0.749052,0.291844,0.681692,0.467438,0.275878,0.274748,0.292087,120.000000,85.187500
