,GA,FGA,PA,SA,RPA@0.7,FTA,PTA,RTA,identified_templates,ground_templates
HDFS,0.808500,0.687500,0.000000,0.570714,0.122000,0.000000,0.000000,0.000000,18.000000,14.000000
Hadoop,0.925500,0.839827,0.082500,0.681378,0.444000,0.147186,0.145299,0.149123,117.000000,114.000000
Spark,0.939500,0.811594,0.004000,0.727005,0.447000,0.202899,0.212121,0.194444,33.000000,36.000000
Zookeeper,0.946000,0.776699,0.451500,0.893452,0.797000,0.233010,0.226415,0.240000,53.000000,50.000000
BGL,0.806500,0.698529,0.082000,0.730298,0.332500,0.102941,0.092105,0.116667,152.000000,120.000000
HPC,0.842000,0.563636,0.622500,0.851912,0.774000,0.290909,0.250000,0.347826,64.000000,46.000000
Thunderbird,0.159000,0.687324,0.046500,0.797487,0.552500,0.236620,0.203883,0.281879,206.000000,149.000000
Windows,0.399500,0.660550,0.152000,0.815106,0.699500,0.311927,0.288136,0.340000,59.000000,50.000000
Linux,0.165000,0.840816,0.111500,0.561130,0.241000,0.318367,0.307087,0.330508,127.000000,118.000000
Android,0.755000,0.760000,0.182500,0.661569,0.421000,0.354286,0.336957,0.373494,184.000000,166.000000
HealthApp,0.900500,0.920000,0.039000,0.916567,0.877500,0.333333,0.333333,0.333333,75.000000,75.000000
Apache,1.000000,1.000000,0.000000,0.747482,0.699500,0.000000,0.000000,0.000000,6.000000,6.000000
Proxifier,0.038500,0.347826,0.000000,0.429777,0.084500,0.000000,0.000000,0.000000,15.000000,8.000000
OpenSSH,0.222000,0.524590,0.066000,0.675915,0.280500,0.163934,0.147059,0.185185,34.000000,27.000000
OpenStack,0.213000,0.162437,0.018500,0.430741,0.139500,0.030457,0.019481,0.069767,154.000000,43.000000
Mac,0.647000,0.734870,0.106500,0.730226,0.562500,0.155620,0.152975,0.158358,353.000000,341.000000
Average,0.610469,0.688512,0.122813,0.701297,0.467156,0.180093,0.169678,0.195037,103.125000,85.187500
