"EventId","EventTemplate","Occurrences"
"E0","printFreezingDisplayLogsopening app wtoken = AppWindowToken{<*> token= Token{<*> ActivityRecord{<*> u0 <*>/.<*> t761}}}, allDrawn= false, startingDisplayed = false, startingMoved = false, isRelaunching = false","1"
"E1","acquire lock= <*>, flags= <*>, tag= ""View Lock"", name= <*>, ws= null, uid= <*>, pid= <*>","1"
"E2","ready= true,policy= <*>,wakefulness= <*>,wksummary= <*>,uasummary= <*>,bootcompleted= true,boostinprogress= false,waitmodeenable= false,mode= false,manual= <*>,auto= -<*>,adj= <*>.0userId= <*>","199"
"E3","Skipping AppWindowToken{<*> token= Token{<*> ActivityRecord{<*> u0 <*><*>.<*> t761}}} -- going to hide","2"
"E4","visible is <*>","3"
"E5","mVisiblity.getValue is false","5"
"E6","visible is <*> gt <*>","2"
"E7","release: lock= <*>, flg= <*>, tag= ""View Lock"", name= <*>"", ws= null, uid= <*>, pid= <*>","1"
"E8","updateClipping isOverlap: false, getTopPadding= <*>.<*>, Translation= -<*>.<*>","1"
"E9","updateDimmedActivatedHideSensitive overlap: false","1"
"E10","getRunningAppProcesses: caller <*> does not hold REAL GET TASKS; limiting output","81"
"E11","release: lock= <*>, flg= <*>, tag= ""*launch*"", name= android"", ws= WorkSource{<*>}, uid= <*>, pid= <*>","1"
"E12","setSystemUiVisibility vis= <*> mask= <*> oldVal= <*> newVal= <*> diff= <*> fullscreenStackVis= <*> dockedStackVis= <*>, fullscreenStackBounds= Rect( <*>, <*> - <*>, <*>) , dockedStackBounds= Rect( <*>, <*> - <*>, <*>)","200"
"E13","cancelAutohide","15"
"E14","notifyUiVisibilityChanged: vis= <*>, SystemUiVisibility= <*>","19"
"E15","Destroying surface Surface( name= SurfaceView - <*><*>.<*>) called by <*>: <*> <*>: <*> <*>: <*> <*>$Stub.onTransact: <*> <*>: <*> <*>: <*> <bottom of call stack> <bottom of call stack>","1"
"E16","Destroying surface Surface( name= <*><*>.<*>) called by <*>: <*> <*>: <*> <*>: <*> <*>: <*> <*>: <*> <*>: <*> <*>$Stub.onTransact: <*> <*>: <*>","1"
"E17","release: lock= <*>, flg= <*>, tag= <:*:> name= android"", ws= WorkSource{<*>}, uid= <*>, pid= <*>","1"
"E18","userActivityNoUpdateLocked: eventTime= <*>, event= <*>, flags= <*>, uid= <*>","69"
"E19","orientation change is complete, call stopFreezingDisplayLocked","1"
"E20","Screen frozen for +1s0ms due to Window{<*> u0 <*><*>.<*>}","1"
"E21","startAnimation begin","1"
"E22","startAnimation <:*:>","1"
"E23","release: lock= <*>, flg= <*>, tag= <:*:> <:*:> name= <:*:> ws= null, uid= <*>, pid= <*>","1"
"E24","remove( PendingIntent{<*>: PendingIntentRecord{<*> <*> broadcastIntent}}) changed bounds; rebatching","2"
"E25","rotationForOrientationLw( orient= <*>, last= <*>) ; user= <*> USER ROTATION LOCKED","1"
"E26","Application requested orientation <*>, got rotation <*> which has compatible metrics","1"
"E27","acquire lock= <*>, flags= <*>, tag= ""RILJ ACK WL"", name= <*>, ws= null, uid= <*>, pid= <*>","10"
"E28","shouldBlockLocation running ...","37"
"E29","shouldBlockLocation ret: false","33"
"E30","getNeighboringCellInfo calling app is <*>","5"
"E31","release: lock= <*>, flg= <*>, tag= ""RILJ ACK WL"", name= <*>"", ws= null, uid= <*>, pid= <*>","7"
"E32","release: lock= <*>, flg= <*>, tag= <:*:> name= <:*:> ws= <:*:> uid= <*>, pid= <*>","15"
"E33","Releasing suspend blocker ""PowerManagerService.WakeLocks"".","33"
"E34","HBM brightnessIn = <*>","1"
"E35","HBM <:*:> = <*>","169"
"E36","Animating brightness: target= <*>, rate= <*>","85"
"E37","suspendAutohide","23"
"E38","interceptKeyTq keycode= <*> interactive= true keyguardActive= false policyFlags= <*> down true canceled false","1"
"E39","interceptKeyBeforeQueueing: key <*> , result : <*>","14"
"E40","resumeSuspendedAutohide","10"
"E41","interceptKeyTq keycode= <*> interactive= true keyguardActive= false policyFlags= <*> down <:*:> canceled false","13"
"E42","querySoundEffectsEnabled...","17"
"E43","acquire lock= <*>, flags= <*>, tag= ""*launch*"", name= android, ws= WorkSource{<*>}, uid= <*>, pid= <*>","2"
"E44","Acquiring suspend blocker ""PowerManagerService.WakeLocks"".","33"
"E45","Skipping AppWindowToken{<*> token= Token{<*> ActivityRecord{<*> u0 <:*:> t761}}} -- going to hide","2"
"E46","Bad activity token: <*>@<*>","1"
"E47","<*>: <*> cannot be cast to <*>$Token","1"
"E48","onTouchEvent: : <*>, x= <*>.<*>, y= <*>.<*>","2"
"E49","schedulePeek","1"
"E50","getRingtonePlayer...","2"
"E51","disable: < expand ICONS* alerts SYSTEM INFO* back home recent clock navigationbar search quick settings >","1"
"E52","updateLightsLocked,mInCall = false,mScreenOn = true,ledNotification = = null?true","3"
"E53","updateLightsLocked,turn off notificationLight","6"
"E54","overlapAmount: <*>.<*>, previousNotificationEnd: <*>.<*>, newYTranslation: -<*>.<*>, location: <*>, i: <*>, getTopPadding: <*>.<*>, getLocationOnScreen( ) : -<*>","13"
"E55","state.clipTopAmount: <*>, i: <*>","5"
"E56","updateClipping isOverlap: <:*:> getTopPadding= <*>.<*>, Translation= -<*>.<*>","23"
"E57","updateDimmedActivatedHideSensitive overlap: <:*:>","64"
"E58","onExpandingStarted","2"
"E59","onTrackingStarted","1"
"E60","Destroying surface Surface( name= <*><*>.<*>) called by <*>: <*> <*>: <*> <*>: <*> <*>: <*> <*>: <*> <*>: <*> <:*:> <*> <*>: <*>","2"
"E61","state.clipTopAmount: <:*:> i: <*>","8"
"E62","cancelPeek: false","20"
"E63","flingToHeight: vel= <*>.<*>, expand= true, target= <*>.<*>, collapseSpeedUpFactor= <*>.<*>, expandBecauseOfFalsing= false","1"
"E64","onTrackingStopped: true","1"
"E65","onExpandingFinished","2"
"E66","updateClipping isOverlap: <:*:> getTopPadding= <*>.<*>, Translation= <:*:>","41"
"E67","Sending non-protected broadcast <*> from system <*>: <*><*> pkg <*>","2"
"E68","logNotificationVisibilityChanges runInThread start","1"
"E69","onNotificationVisibilityChanged called","6"
"E70","logNotificationVisibilityChanges runInThread <:*:>","11"
