"LineId","Time","Level","Content","EventId","EventTemplate"
"1","Sun Dec 04 04:47:44 2005","notice","workerEnv.init() ok /etc/httpd/conf/workers2.properties","E1","workerEnv.init() ok /etc/httpd/conf/workers2.properties"
"2","Sun Dec 04 04:47:44 2005","error","mod_jk child workerEnv in error state 6","E2","mod jk child workerEnv in error state <:NUM:>"
"3","Sun Dec 04 04:51:08 2005","notice","jk2_init() Found child 6725 in scoreboard slot 10","E3","jk2 init() Found child <:NUM:> in scoreboard slot <:NUM:>"
"4","Sun Dec 04 04:51:09 2005","notice","jk2_init() Found child 6726 in scoreboard slot 8","E3","jk2 init() Found child <:NUM:> in scoreboard slot <:NUM:>"
"5","Sun Dec 04 04:51:09 2005","notice","jk2_init() Found child 6728 in scoreboard slot 6","E3","jk2 init() Found child <:NUM:> in scoreboard slot <:NUM:>"
"6","Sun Dec 04 04:51:14 2005","notice","workerEnv.init() ok /etc/httpd/conf/workers2.properties","E1","workerEnv.init() ok /etc/httpd/conf/workers2.properties"
"7","Sun Dec 04 04:51:14 2005","notice","workerEnv.init() ok /etc/httpd/conf/workers2.properties","E1","workerEnv.init() ok /etc/httpd/conf/workers2.properties"
"8","Sun Dec 04 04:51:14 2005","notice","workerEnv.init() ok /etc/httpd/conf/workers2.properties","E1","workerEnv.init() ok /etc/httpd/conf/workers2.properties"
"9","Sun Dec 04 04:51:18 2005","error","mod_jk child workerEnv in error state 6","E2","mod jk child workerEnv in error state <:NUM:>"
"10","Sun Dec 04 04:51:18 2005","error","mod_jk child workerEnv in error state 6","E2","mod jk child workerEnv in error state <:NUM:>"
"11","Sun Dec 04 04:51:18 2005","error","mod_jk child workerEnv in error state 6","E2","mod jk child workerEnv in error state <:NUM:>"
"12","Sun Dec 04 04:51:37 2005","notice","jk2_init() Found child 6736 in scoreboard slot 10","E3","jk2 init() Found child <:NUM:> in scoreboard slot <:NUM:>"
"13","Sun Dec 04 04:51:38 2005","notice","jk2_init() Found child 6733 in scoreboard slot 7","E3","jk2 init() Found child <:NUM:> in scoreboard slot <:NUM:>"
"14","Sun Dec 04 04:51:38 2005","notice","jk2_init() Found child 6734 in scoreboard slot 9","E3","jk2 init() Found child <:NUM:> in scoreboard slot <:NUM:>"
"15","Sun Dec 04 04:51:52 2005","notice","workerEnv.init() ok /etc/httpd/conf/workers2.properties","E1","workerEnv.init() ok /etc/httpd/conf/workers2.properties"
"16","Sun Dec 04 04:51:52 2005","notice","workerEnv.init() ok /etc/httpd/conf/workers2.properties","E1","workerEnv.init() ok /etc/httpd/conf/workers2.properties"
"17","Sun Dec 04 04:51:55 2005","error","mod_jk child workerEnv in error state 6","E2","mod jk child workerEnv in error state <:NUM:>"
"18","Sun Dec 04 04:52:04 2005","notice","jk2_init() Found child 6738 in scoreboard slot 6","E3","jk2 init() Found child <:NUM:> in scoreboard slot <:NUM:>"
"19","Sun Dec 04 04:52:04 2005","notice","jk2_init() Found child 6741 in scoreboard slot 9","E3","jk2 init() Found child <:NUM:> in scoreboard slot <:NUM:>"
"20","Sun Dec 04 04:52:05 2005","notice","jk2_init() Found child 6740 in scoreboard slot 7","E3","jk2 init() Found child <:NUM:> in scoreboard slot <:NUM:>"
"21","Sun Dec 04 04:52:05 2005","notice","jk2_init() Found child 6737 in scoreboard slot 8","E3","jk2 init() Found child <:NUM:> in scoreboard slot <:NUM:>"
"22","Sun Dec 04 04:52:12 2005","notice","workerEnv.init() ok /etc/httpd/conf/workers2.properties","E1","workerEnv.init() ok /etc/httpd/conf/workers2.properties"
"23","Sun Dec 04 04:52:12 2005","notice","workerEnv.init() ok /etc/httpd/conf/workers2.properties","E1","workerEnv.init() ok /etc/httpd/conf/workers2.properties"
"24","Sun Dec 04 04:52:12 2005","notice","workerEnv.init() ok /etc/httpd/conf/workers2.properties","E1","workerEnv.init() ok /etc/httpd/conf/workers2.properties"
"25","Sun Dec 04 04:52:15 2005","error","mod_jk child workerEnv in error state 6","E2","mod jk child workerEnv in error state <:NUM:>"
"26","Sun Dec 04 04:52:15 2005","error","mod_jk child workerEnv in error state 7","E2","mod jk child workerEnv in error state <:NUM:>"
"27","Sun Dec 04 04:52:15 2005","error","mod_jk child workerEnv in error state 7","E2","mod jk child workerEnv in error state <:NUM:>"
"28","Sun Dec 04 04:52:36 2005","notice","jk2_init() Found child 6748 in scoreboard slot 6","E3","jk2 init() Found child <:NUM:> in scoreboard slot <:NUM:>"
"29","Sun Dec 04 04:52:36 2005","notice","jk2_init() Found child 6744 in scoreboard slot 10","E3","jk2 init() Found child <:NUM:> in scoreboard slot <:NUM:>"
"30","Sun Dec 04 04:52:36 2005","notice","jk2_init() Found child 6745 in scoreboard slot 8","E3","jk2 init() Found child <:NUM:> in scoreboard slot <:NUM:>"
"31","Sun Dec 04 04:52:49 2005","notice","workerEnv.init() ok /etc/httpd/conf/workers2.properties","E1","workerEnv.init() ok /etc/httpd/conf/workers2.properties"
"32","Sun Dec 04 04:52:49 2005","notice","workerEnv.init() ok /etc/httpd/conf/workers2.properties","E1","workerEnv.init() ok /etc/httpd/conf/workers2.properties"
"33","Sun Dec 04 04:52:52 2005","error","mod_jk child workerEnv in error state 7","E2","mod jk child workerEnv in error state <:NUM:>"
"34","Sun Dec 04 04:52:52 2005","error","mod_jk child workerEnv in error state 6","E2","mod jk child workerEnv in error state <:NUM:>"
"35","Sun Dec 04 04:53:05 2005","notice","jk2_init() Found child 6750 in scoreboard slot 7","E3","jk2 init() Found child <:NUM:> in scoreboard slot <:NUM:>"
"36","Sun Dec 04 04:53:05 2005","notice","jk2_init() Found child 6751 in scoreboard slot 9","E3","jk2 init() Found child <:NUM:> in scoreboard slot <:NUM:>"
"37","Sun Dec 04 04:53:05 2005","notice","jk2_init() Found child 6752 in scoreboard slot 10","E3","jk2 init() Found child <:NUM:> in scoreboard slot <:NUM:>"
"38","Sun Dec 04 04:53:15 2005","notice","workerEnv.init() ok /etc/httpd/conf/workers2.properties","E1","workerEnv.init() ok /etc/httpd/conf/workers2.properties"
"39","Sun Dec 04 04:53:15 2005","notice","workerEnv.init() ok /etc/httpd/conf/workers2.properties","E1","workerEnv.init() ok /etc/httpd/conf/workers2.properties"
"40","Sun Dec 04 04:53:16 2005","error","mod_jk child workerEnv in error state 7","E2","mod jk child workerEnv in error state <:NUM:>"
"41","Sun Dec 04 04:53:16 2005","error","mod_jk child workerEnv in error state 6","E2","mod jk child workerEnv in error state <:NUM:>"
"42","Sun Dec 04 04:53:29 2005","notice","jk2_init() Found child 6754 in scoreboard slot 8","E3","jk2 init() Found child <:NUM:> in scoreboard slot <:NUM:>"
"43","Sun Dec 04 04:53:29 2005","notice","jk2_init() Found child 6755 in scoreboard slot 6","E3","jk2 init() Found child <:NUM:> in scoreboard slot <:NUM:>"
"44","Sun Dec 04 04:53:40 2005","notice","jk2_init() Found child 6756 in scoreboard slot 7","E3","jk2 init() Found child <:NUM:> in scoreboard slot <:NUM:>"
"45","Sun Dec 04 04:53:51 2005","notice","workerEnv.init() ok /etc/httpd/conf/workers2.properties","E1","workerEnv.init() ok /etc/httpd/conf/workers2.properties"
"46","Sun Dec 04 04:53:54 2005","error","mod_jk child workerEnv in error state 7","E2","mod jk child workerEnv in error state <:NUM:>"
"47","Sun Dec 04 04:54:15 2005","notice","jk2_init() Found child 6763 in scoreboard slot 10","E3","jk2 init() Found child <:NUM:> in scoreboard slot <:NUM:>"
"48","Sun Dec 04 04:54:15 2005","notice","jk2_init() Found child 6766 in scoreboard slot 6","E3","jk2 init() Found child <:NUM:> in scoreboard slot <:NUM:>"
"49","Sun Dec 04 04:54:15 2005","notice","jk2_init() Found child 6767 in scoreboard slot 7","E3","jk2 init() Found child <:NUM:> in scoreboard slot <:NUM:>"
"50","Sun Dec 04 04:54:15 2005","notice","jk2_init() Found child 6765 in scoreboard slot 8","E3","jk2 init() Found child <:NUM:> in scoreboard slot <:NUM:>"
"51","Sun Dec 04 04:54:18 2005","notice","workerEnv.init() ok /etc/httpd/conf/workers2.properties","E1","workerEnv.init() ok /etc/httpd/conf/workers2.properties"
"52","Sun Dec 04 04:54:18 2005","notice","workerEnv.init() ok /etc/httpd/conf/workers2.properties","E1","workerEnv.init() ok /etc/httpd/conf/workers2.properties"
"53","Sun Dec 04 04:54:18 2005","notice","workerEnv.init() ok /etc/httpd/conf/workers2.properties","E1","workerEnv.init() ok /etc/httpd/conf/workers2.properties"
"54","Sun Dec 04 04:54:18 2005","notice","workerEnv.init() ok /etc/httpd/conf/workers2.properties","E1","workerEnv.init() ok /etc/httpd/conf/workers2.properties"
"55","Sun Dec 04 04:54:18 2005","error","mod_jk child workerEnv in error state 6","E2","mod jk child workerEnv in error state <:NUM:>"
"56","Sun Dec 04 04:54:18 2005","error","mod_jk child workerEnv in error state 6","E2","mod jk child workerEnv in error state <:NUM:>"
