"EventId","EventTemplate","Occurrences"
"E0","instruction cache parity error corrected","42"
"E1","<:NUM:> double-hummer alignment exceptions","109"
"E2","CE sym <:NUM:>, at <:HEX:>, mask <:HEX:>","92"
"E3","ciod: failed to read message prefix on control stream ( CioStream socket to <:IP:>:<:NUM:>","3"
"E4","generating <*>","721"
"E5","force load/store alignment.. .. .. .. .. .. .. .<:NUM:>","2"
"E6","ciod: cpu <:NUM:> at treeaddr <:NUM:> sent unrecognized message <:HEX:>","1"
"E7","ciod: LOGIN chdir( /p/gb2/glosli/8M 5000K/t800) failed: No such file or directory","1"
"E8","<:NUM:> ddr errors( s) detected and corrected on rank <:NUM:>, symbol <:NUM:>, bit <:NUM:>","18"
"E9","data TLB error interrupt","60"
"E10","ciod: Message code <:NUM:> is not <:NUM:> or <:NUM:>","1"
"E11","data storage interrupt","30"
"E12","instruction address: <:HEX:>","21"
"E13","data address: <:HEX:>","8"
"E14","machine check: i-fetch.. .. .. .. .. .. .. .. .. .. .. <:NUM:>","5"
"E15","program interrupt: illegal instruction.. .. .. <:NUM:>","5"
"E16","exception syndrome register: <:HEX:>","6"
"E17","data store interrupt caused by dcbf.. .. .. .. .<:NUM:>","2"
"E18","program interrupt: privileged instruction.. .<:NUM:>","2"
"E19","program interrupt: trap instruction.. .. .. .. .<:NUM:>","1"
"E20","program interrupt: <:*:> <:*:> .. .. <:NUM:>","8"
"E21","store operation.. .. .. .. .. .. .. .. .. .. .. .. .. .. .<:NUM:>","2"
"E22","machine state register: <:HEX:>","4"
"E23","data store interrupt caused by <:*:> .. .. .. .<:NUM:>","8"
"E24","problem state ( <:NUM:>= sup,<:NUM:>= usr) .. .. .. .<:NUM:>","3"
"E25","floating point instr. enabled.. .. .<:NUM:>","4"
"E26","auxiliary processor.. .. .. .. .. .. .. .. .. .. .. .. .<:NUM:>","5"
"E27","machine check enable.. .. .. .. .. .. .. <:NUM:>","2"
"E28","floating pt ex mode <:NUM:> enable.. .. .. <:NUM:>","5"
"E29","program interrupt: <:*:> <:*:> <:*:>","5"
"E30","debug interrupt enable.. .. .. .. .. .. <:NUM:>","1"
"E31","byte ordering exception.. .. .. .. .. .. .. .. .. .. .<:NUM:>","2"
"E32","data address space.. .. .. .. .. .. .. .. <:NUM:>","5"
"E33","core configuration register: <:HEX:>","7"
"E34","program interrupt: fp cr update.. .. .. .. .. .. .<:NUM:>","1"
"E35","guaranteed instruction cache block touch.<:NUM:>","2"
"E36","program interrupt: fp cr field .. .. .. .. .. .. .<:NUM:>","4"
"E37","guaranteed data cache block touch.. .. .. .. <:NUM:>","1"
"E38","icache prefetch depth.. .. .. .. .. .. .. .. .. .. <:NUM:>","1"
"E39","icache prefetch threshold.. .. .. .. .. .. .. .. <:NUM:>","2"
"E40","wait state enable.. .. .. .. .. .. .. .. .<:NUM:>","1"
"E41","critical input interrupt enable.. .<:NUM:>","1"
"E42","special purpose registers:","1"
"E43","lr:00004ed0 cr:<:NUM:> xer:<:NUM:> ctr:<:NUM:>","1"
"E44","rts internal error","1"
"E45","debug wait enable.. .. .. .. .. .. .. .. .<:NUM:>","2"
"E46","instruction address space.. .. .. .. .<:NUM:>","1"
"E47","disable store gathering.. .. .. .. .. .. .. .. .. <:NUM:>","3"
"E48","total of <:NUM:> ddr error( s) detected and corrected","13"
"E49","ciod: Error loading /home/draeger/testQboxhang-nozerobytebug-nosleepyescomm: invalid or missing program image, No such file or directory","1"
"E50","ciod: Error creating node map from file /p/gb2/cabot/miranda/newmaps/8k 128x64x1 8x4x4.map: No child processes","1"
"E51","ciod: Error loading ./runtime malloc: invalid or missing program image, No such file or directory","1"
"E52","ciod: Error loading <:*:> invalid or missing program image, No such file or directory","13"
"E53","program interrupt","3"
"E54","Node card is not fully functional","6"
"E55","ciod: Error creating node map from file <:*:> <:*:> 8x4x4.map: <:*:> <:*:> <:*:>","1"
