"EventId","EventTemplate","Occurrences"
"E0","PacketResponder <:NUM:> for block <*> terminating","311"
"E1","BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <:NUM:>","314"
"E2","Received block <*> of size <:NUM:> from /<*>","292"
"E3","Receiving block <*> src: /<*> dest: /<*>","292"
"E4","BLOCK* NameSystem.allocateBlock: /user/root/rand/ temporary/ task <:NUM:> <:NUM:> m <:NUM:> <:NUM:>/part-<:NUM:>. <*>","5"
"E5","Verification succeeded for <*>","20"
"E6","Deleting block <*> file /mnt/hadoop/dfs/data/current/subdir5/<*>","1"
"E7","<*> Served block <*> to /<*>","80"
"E8","<*>: Got exception while serving <*> to /<*>:","80"
"E9","BLOCK* NameSystem.allocateBlock: <:*:> temporary/ task <:NUM:> <:NUM:> <:*:> <:NUM:> <:NUM:>/part-<:NUM:>. <*>","110"
"E10","BLOCK* NameSystem.delete: <*> is added to invalidSet of <*>","224"
"E11","Deleting block <*> file <:*:>","262"
"E12","<*> Starting thread to transfer block <*> to <*>","1"
"E13","BLOCK* ask <*> to delete <*>","2"
"E14","Received block <*> src: /<*> dest: /<*> of size <:NUM:>","2"
"E15","BLOCK* ask <*> to delete <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>","2"
"E16","BLOCK* ask <*> to replicate <*> to datanode(s) <*>","1"
"E17","BLOCK* ask <*> to delete <*> <*> <*> <*> <*> <*> <*> <*> <*>","1"
