"EventId","EventTemplate","Occurrences"
"E0","Component State Change: Component \\042SCSI- WWID: <:NUM:>: <:NUM:>- 08b4- <:NUM:>- 00c6- <:NUM:>- <:NUM:>- 003d- <:NUM:>\\<:NUM:> is in the unavailable state (HWID<*>)","1"
"E1","Component State Change: Component \\042alt0\\<:NUM:> is in the unavailable state (HWID<*>)","11"
"E2","clusterAddMember (command <:NUM:>)","2"
"E3","risBoot (command <:NUM:>)","1"
"E4","bootGenvmunix (command <:NUM:>)","2"
"E5","boot (command <:NUM:>)","67"
"E6","wait (command <:NUM:>)","66"
"E7","halt (command <:NUM:>)","3"
"E8","Command has completed successfully","10"
"E9","Targeting domains: node- D3 and nodes: node- [<:NUM:>- <:NUM:>] child of command <:NUM:>","1"
"E10","Targeting domains: node- <:*:> and nodes: node- [<:NUM:>- <:NUM:>] child of command <:NUM:>","4"
"E11","Targeting domains: node- D7 and nodes: node- [<:NUM:>\\ <:NUM:>\\ <:NUM:>]","1"
"E12","Targeting domains: node- D0 and nodes: node- <:NUM:>","1"
"E13","Targeting domains: node- <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:NUM:>]","1"
"E14","Targeting domains: node- <:*:> and nodes: node- <:NUM:>","1"
"E15","psu failure\\ ambient<*>","5"
"E16","Temperature (41C) exceeds warning threshold","2"
"E17","ClusterFileSystem: There is no server for ServerFileSystem domain storage234","1"
"E18","ClusterFileSystem: There is no server for ServerFileSystem domain <:*:>","31"
"E19","NIFF: node node- <:NUM:> detected a failed network connection on network <:IP:> via interface alt0","2"
"E20","ServerFileSystem: An ServerFileSystem domain panic has occurred on storage442","1"
"E21","Fan speeds ( <:NUM:> <:NUM:> <:NUM:> **** <:NUM:> <:NUM:> )","5"
"E22","Fan speeds ( <:SEQ:>)","10"
"E23","Fan speeds ( <:NUM:> <:NUM:> <:NUM:> <:*:> <:NUM:> <:NUM:> )","75"
"E24","Command has <:*:> <:*:>","1"
"E25","power/control problem","1"
"E26","Link error","9"
"E27","Link in reset","9"
"E28","Link <:*:>","17"
"E29","Link error on broadcast tree Interconnect- 0T00: <:NUM:>: <:NUM:>: <:NUM:>","1"
"E30","Link error on broadcast tree Interconnect- <:*:> <:NUM:>: <:NUM:>: <:NUM:>","3"
"E31","ServerFileSystem: ServerFileSystem domain root14 local is full","1"
"E32","ServerFileSystem: ServerFileSystem domain <:*:> local is full","3"
"E33","ServerFileSystem: ServerFileSystem domain <:*:> <:*:> is full","8"
"E34","ClusterFileSystem: ServerFileSystem domain cluster root backup is no longer served by node node- <:NUM:>","1"
"E35","ClusterFileSystem: ServerFileSystem domain root domain is no longer served by node node- <:NUM:>","1"
"E36","ClusterFileSystem: ServerFileSystem domain <:*:> domain is no longer served by node node- <:NUM:>","6"
"E37","ClusterFileSystem: ServerFileSystem domain <:*:> <:*:> is no longer served by node node- <:NUM:>","18"
"E38","ClusterFileSystem: ServerFileSystem domain storage1422 is no longer served by node node- <:NUM:>","1"
"E39","ClusterFileSystem: ServerFileSystem domain <:*:> is no longer served by node node- <:NUM:>","3"
"E40","ClusterFileSystem: ServerFileSystem domain cluster <:*:> backup is no longer served by node node- <:NUM:>","1"
"E41","ClusterFileSystem: ServerFileSystem domain <:*:> <:*:> backup is no longer served by node node- <:NUM:>","5"
"E42","running","162"
"E43","blocked","15"
"E44","not responding","60"
"E45","configured out","91"
"E46","inconsistent nodesets node- <:NUM:> <:HEX:> <ok> node- <:NUM:> <:HEX:> <ok> node- <:NUM:> <:HEX:> <ok> node- <:NUM:> <:HEX:> <ok>","2"
"E47","active","5"
"E48","not- responding","1"
"E49","inconsistent nodesets node- <:NUM:> <:HEX:> <ok> node- <:NUM:> <:HEX:> <ok> node- <:NUM:> <:HEX:> <ok> node- <:NUM:> <:HEX:> <ok> node- <:NUM:> <:HEX:> <ok> node- <:NUM:> <:HEX:> <ok> node- <:NUM:> <:HEX:> <ok> node- <:NUM:> <:HEX:> <ok> node- <:NUM:> <:HEX:> <ok> node- <:NUM:> <:HEX:> <ok> node- <:NUM:> <:HEX:> <ok> node- <:NUM:> <:HEX:> <ok> node- <:NUM:> <:HEX:> <ok>","1"
"E50","starting","1"
"E51","closing","1"
"E52","inconsistent nodesets node- <:NUM:> <:HEX:> <ok> node- <:NUM:> <:HEX:> <ok> node- <:NUM:> <:HEX:> <ok> node- <:NUM:> <:HEX:> <ok> node- <:NUM:> <:HEX:> <ok>","1"
"E53","normal","206"
"E54","warning","205"
"E55","ambient<*>","292"
"E56","critical","20"
"E57","Linkerror event interval expired","394"
"E58","risBoot (command <:NUM:>) Error: Timed out while waiting for SRM prompt: <ABORT code completed>","1"
"E59","boot (command <:NUM:>) Error: HALT asserted\\ cannot continue","1"
"E60","Failed subcommands <:NUM:>","1"
"E61","link errors remain current","56"
"E62","NIFF: node node- <:NUM:> has detected an available network connection on network <:IP:> via interface ee0","1"
"E63","NIFF: node node- <:NUM:> has detected an available network connection on network <:IP:> via interface <:*:>","90"
