"LineId","Date","Time","Level","Process","Component","Content","EventId","EventTemplate"
"1","2015-10-18","18:01:47,978","INFO","main","org.apache.hadoop.mapreduce.v2.app.MRAppMaster","Created MRAppMaster for application appattempt_1445144423722_0020_000001","E1","Created MRAppMaster for application appattempt <:NUM:> <:NUM:> <:NUM:>"
"2","2015-10-18","18:01:48,963","INFO","main","org.apache.hadoop.mapreduce.v2.app.MRAppMaster","Executing with tokens:","E2","Executing with tokens:"
"3","2015-10-18","18:01:48,963","INFO","main","org.apache.hadoop.mapreduce.v2.app.MRAppMaster","Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: 20 cluster_timestamp: 1445144423722 } attemptId: 1 } keyId: -127633188)","E3","Kind: YARN AM RM TOKEN, Service: , Ident: ( appAttemptId { application id { id: <:NUM:> cluster timestamp: <:NUM:> } attemptId: <:NUM:> } keyId: <:NUM:>)"
"4","2015-10-18","18:01:49,228","INFO","main","org.apache.hadoop.mapreduce.v2.app.MRAppMaster","Using mapred newApiCommitter.","E4","Using mapred newApiCommitter."
"5","2015-10-18","18:01:50,353","INFO","main","org.apache.hadoop.mapreduce.v2.app.MRAppMaster","OutputCommitter set in config null","E5","OutputCommitter set in config null"
"6","2015-10-18","18:01:50,509","INFO","main","org.apache.hadoop.mapreduce.v2.app.MRAppMaster","OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter","E6","OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter"
"7","2015-10-18","18:01:50,556","INFO","main","org.apache.hadoop.yarn.event.AsyncDispatcher","Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler","E7","Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler"
"8","2015-10-18","18:01:50,556","INFO","main","org.apache.hadoop.yarn.event.AsyncDispatcher","Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobEventDispatcher","E7","Registering class <:*:> for class <:*:>"
"9","2015-10-18","18:01:50,556","INFO","main","org.apache.hadoop.yarn.event.AsyncDispatcher","Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskEventDispatcher","E7","Registering class <:*:> for class <:*:>"
"10","2015-10-18","18:01:50,556","INFO","main","org.apache.hadoop.yarn.event.AsyncDispatcher","Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskAttemptEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskAttemptEventDispatcher","E7","Registering class <:*:> for class <:*:>"
"11","2015-10-18","18:01:50,572","INFO","main","org.apache.hadoop.yarn.event.AsyncDispatcher","Registering class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventType for class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventHandler","E7","Registering class <:*:> for class <:*:>"
"12","2015-10-18","18:01:50,572","INFO","main","org.apache.hadoop.yarn.event.AsyncDispatcher","Registering class org.apache.hadoop.mapreduce.v2.app.speculate.Speculator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$SpeculatorEventDispatcher","E7","Registering class <:*:> for class <:*:>"
"13","2015-10-18","18:01:50,572","INFO","main","org.apache.hadoop.yarn.event.AsyncDispatcher","Registering class org.apache.hadoop.mapreduce.v2.app.rm.ContainerAllocator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerAllocatorRouter","E7","Registering class <:*:> for class <:*:>"
"14","2015-10-18","18:01:50,588","INFO","main","org.apache.hadoop.yarn.event.AsyncDispatcher","Registering class org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncher$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerLauncherRouter","E7","Registering class <:*:> for class <:*:>"
"15","2015-10-18","18:01:50,634","INFO","main","org.apache.hadoop.mapreduce.v2.jobhistory.JobHistoryUtils","Default file system [hdfs://msra-sa-41:9000]","E8","Default file system [hdfs: //msra-sa-<:NUM:>: <:NUM:>]"
"16","2015-10-18","18:01:50,666","INFO","main","org.apache.hadoop.mapreduce.v2.jobhistory.JobHistoryUtils","Default file system [hdfs://msra-sa-41:9000]","E8","Default file system [hdfs: //msra-sa-<:NUM:>: <:NUM:>]"
"17","2015-10-18","18:01:50,713","INFO","main","org.apache.hadoop.mapreduce.v2.jobhistory.JobHistoryUtils","Default file system [hdfs://msra-sa-41:9000]","E8","Default file system [hdfs: //msra-sa-<:NUM:>: <:NUM:>]"
"18","2015-10-18","18:01:50,728","INFO","main","org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler","Emitting job history data to the timeline server is not enabled","E9","Emitting job history data to the timeline server is not enabled"
"19","2015-10-18","18:01:50,806","INFO","main","org.apache.hadoop.yarn.event.AsyncDispatcher","Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobFinishEvent$Type for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobFinishEventHandler","E7","Registering class <:*:> for class <:*:>"
"20","2015-10-18","18:01:51,197","INFO","main","org.apache.hadoop.metrics2.impl.MetricsConfig","loaded properties from hadoop-metrics2.properties","E10","loaded properties from hadoop-metrics2.properties"
"21","2015-10-18","18:01:51,306","INFO","main","org.apache.hadoop.metrics2.impl.MetricsSystemImpl","Scheduled snapshot period at 10 second(s).","E11","Scheduled snapshot period at <:NUM:> second( s) ."
"22","2015-10-18","18:01:51,306","INFO","main","org.apache.hadoop.metrics2.impl.MetricsSystemImpl","MRAppMaster metrics system started","E12","MRAppMaster metrics system started"
"23","2015-10-18","18:01:51,322","INFO","main","org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl","Adding job token for job_1445144423722_0020 to jobTokenSecretManager","E13","Adding job token for job <:NUM:> <:NUM:> to jobTokenSecretManager"
"24","2015-10-18","18:01:51,619","INFO","main","org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl","Not uberizing job_1445144423722_0020 because: not enabled; too many maps; too much input;","E14","Not uberizing job <:NUM:> <:NUM:> because: not enabled; too many maps; too much input;"
"25","2015-10-18","18:01:51,650","INFO","main","org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl","Input size for job job_1445144423722_0020 = 1256521728. Number of splits = 10","E15","Input size for job job <:NUM:> <:NUM:> = <:NUM:>. Number of splits = <:NUM:>"
"26","2015-10-18","18:01:51,650","INFO","main","org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl","Number of reduces for job job_1445144423722_0020 = 1","E16","Number of reduces for job job <:NUM:> <:NUM:> = <:NUM:>"
"27","2015-10-18","18:01:51,650","INFO","main","org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl","job_1445144423722_0020Job Transitioned from NEW to INITED","E17","job <:NUM:> 0020Job Transitioned from NEW to INITED"
"28","2015-10-18","18:01:51,650","INFO","main","org.apache.hadoop.mapreduce.v2.app.MRAppMaster","MRAppMaster launching normal, non-uberized, multi-container job job_1445144423722_0020.","E18","MRAppMaster launching normal, non-uberized, multi-container job job <:NUM:> <:NUM:>."
"29","2015-10-18","18:01:51,713","INFO","main","org.apache.hadoop.ipc.CallQueueManager","Using callQueue class java.util.concurrent.LinkedBlockingQueue","E19","Using callQueue class java.util.concurrent.LinkedBlockingQueue"
"30","2015-10-18","18:01:51,775","INFO","Socket Reader #1 for port 62260","org.apache.hadoop.ipc.Server","Starting Socket Reader #1 for port 62260","E20","Starting Socket Reader #<:NUM:> for port <:NUM:>"
"31","2015-10-18","18:01:51,791","INFO","main","org.apache.hadoop.yarn.factories.impl.pb.RpcServerFactoryPBImpl","Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server","E21","Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server"
"32","2015-10-18","18:01:51,791","INFO","main","org.apache.hadoop.mapreduce.v2.app.client.MRClientService","Instantiated MRClientService at MININT-FNANLI5.fareast.corp.microsoft.com/10.86.169.121:62260","E22","Instantiated MRClientService at MININT-FNANLI5.fareast.corp.microsoft.com/<*>: <:NUM:>"
"33","2015-10-18","18:01:51,806","INFO","IPC Server Responder","org.apache.hadoop.ipc.Server","IPC Server Responder: starting","E23","IPC Server Responder: starting"
"34","2015-10-18","18:01:51,806","INFO","IPC Server listener on 62260","org.apache.hadoop.ipc.Server","IPC Server listener on 62260: starting","E24","IPC Server listener on <:NUM:>: starting"
"35","2015-10-18","18:01:51,885","INFO","main","org.mortbay.log","Logging to org.slf4j.impl.Log4jLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog","E25","Logging to org.slf4j.impl.Log4jLoggerAdapter( org.mortbay.log) via org.mortbay.log.Slf4jLog"
"36","2015-10-18","18:01:51,900","INFO","main","org.apache.hadoop.http.HttpRequestLog","Http request log for http.requests.mapreduce is not defined","E26","Http request log for http.requests.mapreduce is not defined"
"37","2015-10-18","18:01:51,916","INFO","main","org.apache.hadoop.http.HttpServer2","Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter)","E27","Added global filter 'safety' ( class= org.apache.hadoop.http.HttpServer2$QuotingInputFilter)"
