"EventId","EventTemplate","Occurrences"
"E0","Created MRAppMaster for application appattempt <:NUM:> <:NUM:> <:NUM:>","1"
"E1","Executing with tokens:","1"
"E2","Kind: YARN AM RM TOKEN, Service: , Ident: ( appAttemptId { application id { id: <:NUM:> cluster timestamp: <:NUM:> } attemptId: <:NUM:> } keyId: <:NUM:>)","1"
"E3","Using mapred newApiCommitter.","1"
"E4","OutputCommitter set in config null","1"
"E5","OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter","1"
"E6","Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler","1"
"E7","Registering class <:*:> for class <:*:>","8"
"E8","Default file system [hdfs: //msra-sa-<:NUM:>: <:NUM:>]","3"
"E9","Emitting job history data to the timeline server is not enabled","1"
"E10","loaded properties from hadoop-metrics2.properties","1"
"E11","Scheduled snapshot period at <:NUM:> second( s) .","1"
"E12","MRAppMaster metrics system started","1"
"E13","Adding job token for job <:NUM:> <:NUM:> to jobTokenSecretManager","1"
"E14","Not uberizing job <:NUM:> <:NUM:> because: not enabled; too many maps; too much input;","1"
"E15","Input size for job job <:NUM:> <:NUM:> = <:NUM:>. Number of splits = <:NUM:>","1"
"E16","Number of reduces for job job <:NUM:> <:NUM:> = <:NUM:>","1"
"E17","job <:NUM:> 0020Job Transitioned from NEW to INITED","1"
"E18","MRAppMaster launching normal, non-uberized, multi-container job job <:NUM:> <:NUM:>.","1"
"E19","Using callQueue class java.util.concurrent.LinkedBlockingQueue","2"
"E20","Starting Socket Reader #<:NUM:> for port <:NUM:>","2"
"E21","Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server","1"
"E22","Instantiated MRClientService at MININT-FNANLI5.fareast.corp.microsoft.com/<*>: <:NUM:>","1"
"E23","IPC Server Responder: starting","2"
"E24","IPC Server listener on <:NUM:>: starting","2"
"E25","Logging to org.slf4j.impl.Log4jLoggerAdapter( org.mortbay.log) via org.mortbay.log.Slf4jLog","1"
"E26","Http request log for http.requests.mapreduce is not defined","1"
"E27","Added global filter 'safety' ( class= org.apache.hadoop.http.HttpServer2$QuotingInputFilter)","1"
"E28","Added filter AM PROXY FILTER ( class= org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce","1"
"E29","Added filter AM PROXY FILTER ( class= org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context <:*:>","1"
"E30","adding path spec: /mapreduce/*","1"
"E31","adding path spec: <:*:>","1"
"E32","Jetty bound to port <:NUM:>","1"
"E33","jetty-<:NUM:>.<:NUM:>.<:NUM:>","1"
"E34","Extract jar: file: /D: /hadoop-<:NUM:>.<:NUM:>.<:NUM:>-localbox/share/hadoop/yarn/hadoop-yarn-common-<:NUM:>.<:NUM:>.<:NUM:>-SNAPSHOT.jar!/webapps/mapreduce to C: \\Users\\msrabi\\AppData\\Local\\Temp\\Jetty <:NUM:> <:NUM:> <:NUM:> <:NUM:> <:NUM:> mapreduce .8n7xum\\webapp","1"
"E35","Started HttpServer2$SelectChannelConnectorWithSafeStartup@<*>: <:NUM:>","1"
"E36","Web app /mapreduce started at <:NUM:>","1"
"E37","Registered webapp guice modules","1"
"E38","JOB CREATE job <:NUM:> <:NUM:>","1"
"E39","nodeBlacklistingEnabled: true","1"
"E40","maxTaskFailuresPerNode is <:NUM:>","1"
"E41","blacklistDisablePercent is <:NUM:>","1"
"E42","Connecting to ResourceManager at msra-sa-<:NUM:>/<*>: <:NUM:>","1"
"E43","maxContainerCapability: <memory: <:NUM:>, vCores: <:NUM:>>","1"
"E44","queue: default","1"
"E45","Upper limit on the thread pool size is <:NUM:>","1"
"E46","yarn.client.max-cached-nodemanagers-proxies : <:NUM:>","1"
"E47","job <:NUM:> 0020Job Transitioned from <:*:> to <:*:>","2"
"E48","Processing the event EventType: JOB SETUP","1"
"E49","Resolved MSRA-SA-<:NUM:>.fareast.corp.microsoft.com to /default-rack","20"
"E50","task <:NUM:> <:NUM:> m <:NUM:> Task Transitioned from NEW to SCHEDULED","10"
"E51","task <:NUM:> <:NUM:> <:*:> <:NUM:> Task Transitioned from NEW to SCHEDULED","1"
"E52","attempt <:NUM:> <:NUM:> m <:NUM:> <:NUM:> TaskAttempt Transitioned from NEW to UNASSIGNED","10"
"E53","attempt <:NUM:> <:NUM:> <:*:> <:NUM:> <:NUM:> TaskAttempt Transitioned from NEW to UNASSIGNED","1"
"E54","mapResourceRequest: <memory: <:NUM:>, vCores: <:NUM:>>","1"
"E55","Event Writer setup for JobId: job <:NUM:> <:NUM:>, File: hdfs: //msra-sa-<:NUM:>: <:NUM:>/tmp/hadoop-yarn/staging/msrabi/.staging/job <:NUM:> <:NUM:>/job <:NUM:> <:NUM:> <:NUM:>.jhist","1"
"E56","reduceResourceRequest: <memory: <:NUM:>, vCores: <:NUM:>>","1"
"E57","Before Scheduling: PendingReds: <:NUM:> ScheduledMaps: <:NUM:> ScheduledReds: <:NUM:> AssignedMaps: <:NUM:> AssignedReds: <:NUM:> CompletedMaps: <:NUM:> CompletedReds: <:NUM:> ContAlloc: <:NUM:> ContRel: <:NUM:> HostLocal: <:NUM:> RackLocal: <:NUM:>","5"
"E58","getResources( ) for application <:NUM:> <:NUM:>: ask= <:NUM:> release= <:NUM:> newContainers= <:NUM:> finishedContainers= <:NUM:> resourcelimit= <memory: <:NUM:>, vCores: <:NUM:>> knownNMs= <:NUM:>","12"
"E59","Recalculating schedule, headroom= <memory: <:NUM:>, vCores: <:NUM:>>","131"
"E60","Reduce slow start threshold not met. completedMapsForReduceSlowstart <:NUM:>","130"
"E61","Got allocated containers <:NUM:>","10"
"E62","Resolved <:*:> to /default-rack","19"
"E63","Assigned container container <:NUM:> <:NUM:> <:NUM:> <:NUM:> to attempt <:NUM:> <:NUM:> m <:NUM:> <:NUM:>","10"
"E64","After Scheduling: PendingReds: <:NUM:> ScheduledMaps: <:NUM:> ScheduledReds: <:NUM:> AssignedMaps: <:NUM:> AssignedReds: <:NUM:> CompletedMaps: <:NUM:> CompletedReds: <:NUM:> ContAlloc: <:NUM:> ContRel: <:NUM:> HostLocal: <:NUM:> RackLocal: <:NUM:>","12"
"E65","The job-jar file on the remote FS is hdfs: //msra-sa-<:NUM:>: <:NUM:>/tmp/hadoop-yarn/staging/msrabi/.staging/job <:NUM:> <:NUM:>/job.jar","1"
"E66","The job-conf file on the remote FS is /tmp/hadoop-yarn/staging/msrabi/.staging/job <:NUM:> <:NUM:>/job.xml","1"
"E67","Adding #<:NUM:> tokens and #<:NUM:> secret keys for NM use for launching container","1"
"E68","Size of containertokens dob is <:NUM:>","1"
"E69","Putting shuffle token in serviceData","1"
"E70","attempt <:NUM:> <:NUM:> <:*:> <:NUM:> <:NUM:> TaskAttempt Transitioned from <:*:> to <:*:>","23"
"E71","Processing the event EventType: CONTAINER REMOTE LAUNCH for container container <:NUM:> <:NUM:> <:NUM:> <:NUM:> taskAttempt attempt <:NUM:> <:NUM:> m <:NUM:> <:NUM:>","10"
"E72","Launching attempt <:NUM:> <:NUM:> m <:NUM:> <:NUM:>","10"
"E73","Opening proxy : 04DN8IQ.fareast.corp.microsoft.com: <:NUM:>","1"
"E74","Shuffle port returned by ContainerManager for attempt <:NUM:> <:NUM:> m <:NUM:> <:NUM:> : <:NUM:>","10"
"E75","TaskAttempt: [attempt <:NUM:> <:NUM:> m <:NUM:> <:NUM:>] using containerId: [container <:NUM:> <:NUM:> <:NUM:> <:NUM:> on NM: [04DN8IQ.fareast.corp.microsoft.com: <:NUM:>]","1"
"E76","ATTEMPT START task <:NUM:> <:NUM:> m <:NUM:>","10"
"E77","task <:NUM:> <:NUM:> <:*:> <:NUM:> Task Transitioned from <:*:> to <:*:>","11"
"E78","Opening proxy : <:*:> <:NUM:>","12"
"E79","TaskAttempt: [attempt <:NUM:> <:NUM:> m <:NUM:> <:NUM:>] using containerId: [container <:NUM:> <:NUM:> <:NUM:> <:NUM:> on NM: <:*:> <:NUM:>]","9"
"E80","Auth successful for job <:NUM:> <:NUM:> ( auth: SIMPLE)","10"
