"LineId","Time","Component","Pid","Content","EventId","EventTemplate"
"1","20171223-22:15:29:606","Step_LSC","30002312","onStandStepChanged 3579","E1","onStandStepChanged <:NUM:>"
"2","20171223-22:15:29:615","Step_LSC","30002312","onExtend:1514038530000 14 0 4","E2","onExtend: <:NUM:> <:NUM:> <:NUM:> <:NUM:>"
"3","20171223-22:15:29:633","Step_StandReportReceiver","30002312","onReceive action: android.intent.action.SCREEN_ON","E3","onReceive action: android.intent.action.SCREEN ON"
"4","20171223-22:15:29:635","Step_LSC","30002312","processHandleBroadcastAction action:android.intent.action.SCREEN_ON","E4","processHandleBroadcastAction action: android.intent.action.SCREEN ON"
"5","20171223-22:15:29:635","Step_StandStepCounter","30002312","flush sensor data","E5","flush sensor data"
"6","20171223-22:15:29:635","Step_SPUtils","30002312"," getTodayTotalDetailSteps = 1514038440000##6993##548365##8661##12266##27164404","E6","getTodayTotalDetailSteps = <:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>"
"7","20171223-22:15:29:636","Step_SPUtils","30002312","setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954","E7","setTodayTotalDetailSteps= <:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>"
"8","20171223-22:15:29:636","Step_LSC","30002312","onStandStepChanged 3579","E1","onStandStepChanged <:NUM:>"
"9","20171223-22:15:29:645","Step_ExtSDM","30002312","calculateCaloriesWithCache totalCalories=126775","E8","calculateCaloriesWithCache totalCalories= <:NUM:>"
"10","20171223-22:15:29:648","Step_ExtSDM","30002312","calculateAltitudeWithCache totalAltitude=240","E9","calculateAltitudeWithCache totalAltitude= <:NUM:>"
"11","20171223-22:15:29:649","Step_StandReportReceiver","30002312","REPORT : 7007 5002 150089 240","E10","REPORT : <:NUM:> <:NUM:> <:NUM:> <:NUM:>"
"12","20171223-22:15:29:737","Step_LSC","30002312","onExtend:1514038530000 0 0 4","E2","onExtend: <:NUM:> <:NUM:> <:NUM:> <:NUM:>"
"13","20171223-22:15:29:738","Step_LSC","30002312","onStandStepChanged 3579","E1","onStandStepChanged <:NUM:>"
"14","20171223-22:15:29:792","Step_LSC","30002312","onStandStepChanged 3580","E1","onStandStepChanged <:NUM:>"
"15","20171223-22:15:29:800","Step_LSC","30002312","onExtend:1514038530000 1 0 4","E2","onExtend: <:NUM:> <:NUM:> <:NUM:> <:NUM:>"
"16","20171223-22:15:29:950","Step_SPUtils","30002312"," getTodayTotalDetailSteps = 1514038440000##7007##548365##8661##12361##27173954","E6","getTodayTotalDetailSteps = <:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>"
"17","20171223-22:15:29:950","Step_SPUtils","30002312","setTodayTotalDetailSteps=1514038440000##7008##548365##8661##12456##27174269","E7","setTodayTotalDetailSteps= <:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>"
"18","20171223-22:15:29:959","Step_ExtSDM","30002312","calculateCaloriesWithCache totalCalories=126797","E8","calculateCaloriesWithCache totalCalories= <:NUM:>"
"19","20171223-22:15:29:962","Step_ExtSDM","30002312","calculateAltitudeWithCache totalAltitude=240","E9","calculateAltitudeWithCache totalAltitude= <:NUM:>"
"20","20171223-22:15:29:962","Step_StandReportReceiver","30002312","REPORT : 7008 5003 150111 240","E10","REPORT : <:NUM:> <:NUM:> <:NUM:> <:NUM:>"
"21","20171223-22:15:30:331","Step_LSC","30002312","onStandStepChanged 3581","E1","onStandStepChanged <:NUM:>"
"22","20171223-22:15:30:335","Step_LSC","30002312","onExtend:1514038531000 1 0 4","E2","onExtend: <:NUM:> <:NUM:> <:NUM:> <:NUM:>"
"23","20171223-22:15:30:632","Step_SPUtils","30002312"," getTodayTotalDetailSteps = 1514038440000##7008##548365##8661##12456##27174269","E6","getTodayTotalDetailSteps = <:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>"
"24","20171223-22:15:30:632","Step_SPUtils","30002312","setTodayTotalDetailSteps=1514038440000##7009##548365##8661##12551##27174951","E7","setTodayTotalDetailSteps= <:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>"
"25","20171223-22:15:30:639","Step_ExtSDM","30002312","calculateCaloriesWithCache totalCalories=126818","E8","calculateCaloriesWithCache totalCalories= <:NUM:>"
"26","20171223-22:15:30:641","Step_ExtSDM","30002312","calculateAltitudeWithCache totalAltitude=240","E9","calculateAltitudeWithCache totalAltitude= <:NUM:>"
"27","20171223-22:15:30:642","Step_StandReportReceiver","30002312","REPORT : 7009 5004 150132 240","E10","REPORT : <:NUM:> <:NUM:> <:NUM:> <:NUM:>"
"28","20171223-22:15:30:841","Step_LSC","30002312","onStandStepChanged 3583","E1","onStandStepChanged <:NUM:>"
"29","20171223-22:15:30:858","Step_LSC","30002312","onExtend:1514038531000 2 0 4","E2","onExtend: <:NUM:> <:NUM:> <:NUM:> <:NUM:>"
"30","20171223-22:15:31:142","Step_SPUtils","30002312"," getTodayTotalDetailSteps = 1514038440000##7009##548365##8661##12551##27174951","E6","getTodayTotalDetailSteps = <:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>"
"31","20171223-22:15:31:143","Step_SPUtils","30002312","setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461","E7","setTodayTotalDetailSteps= <:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>"
"32","20171223-22:15:31:157","Step_ExtSDM","30002312","calculateCaloriesWithCache totalCalories=126861","E8","calculateCaloriesWithCache totalCalories= <:NUM:>"
"33","20171223-22:15:31:160","Step_ExtSDM","30002312","calculateAltitudeWithCache totalAltitude=240","E9","calculateAltitudeWithCache totalAltitude= <:NUM:>"
"34","20171223-22:15:31:160","Step_StandReportReceiver","30002312","REPORT : 7011 5005 150175 240","E10","REPORT : <:NUM:> <:NUM:> <:NUM:> <:NUM:>"
"35","20171223-22:15:31:841","Step_LSC","30002312","onStandStepChanged 3584","E1","onStandStepChanged <:NUM:>"
"36","20171223-22:15:31:862","Step_LSC","30002312","onExtend:1514038532000 1 0 4","E2","onExtend: <:NUM:> <:NUM:> <:NUM:> <:NUM:>"
"37","20171223-22:15:32:145","Step_SPUtils","30002312"," getTodayTotalDetailSteps = 1514038440000##7011##548365##8661##12646##27175461","E6","getTodayTotalDetailSteps = <:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>"
"38","20171223-22:15:32:147","Step_SPUtils","30002312","setTodayTotalDetailSteps=1514038440000##7012##548365##8661##12741##27176464","E7","setTodayTotalDetailSteps= <:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>"
"39","20171223-22:15:32:156","Step_ExtSDM","30002312","calculateCaloriesWithCache totalCalories=126882","E8","calculateCaloriesWithCache totalCalories= <:NUM:>"
"40","20171223-22:15:32:162","Step_ExtSDM","30002312","calculateAltitudeWithCache totalAltitude=240","E9","calculateAltitudeWithCache totalAltitude= <:NUM:>"
"41","20171223-22:15:32:163","Step_StandReportReceiver","30002312","REPORT : 7012 5006 150197 240","E10","REPORT : <:NUM:> <:NUM:> <:NUM:> <:NUM:>"
"42","20171223-22:15:32:340","Step_LSC","30002312","onStandStepChanged 3585","E1","onStandStepChanged <:NUM:>"
"43","20171223-22:15:32:354","Step_LSC","30002312","onExtend:1514038533000 1 0 4","E2","onExtend: <:NUM:> <:NUM:> <:NUM:> <:NUM:>"
"44","20171223-22:15:32:647","Step_SPUtils","30002312"," getTodayTotalDetailSteps = 1514038440000##7012##548365##8661##12741##27176464","E6","getTodayTotalDetailSteps = <:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>"
"45","20171223-22:15:32:648","Step_SPUtils","30002312","setTodayTotalDetailSteps=1514038440000##7013##548365##8661##12836##27176966","E7","setTodayTotalDetailSteps= <:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>"
"46","20171223-22:15:32:656","Step_ExtSDM","30002312","calculateCaloriesWithCache totalCalories=126904","E8","calculateCaloriesWithCache totalCalories= <:NUM:>"
"47","20171223-22:15:32:658","Step_ExtSDM","30002312","calculateAltitudeWithCache totalAltitude=240","E9","calculateAltitudeWithCache totalAltitude= <:NUM:>"
"48","20171223-22:15:32:659","Step_StandReportReceiver","30002312","REPORT : 7013 5007 150218 240","E10","REPORT : <:NUM:> <:NUM:> <:NUM:> <:NUM:>"
"49","20171223-22:15:32:840","Step_LSC","30002312","onStandStepChanged 3586","E1","onStandStepChanged <:NUM:>"
"50","20171223-22:15:32:846","Step_LSC","30002312","onExtend:1514038533000 1 0 4","E2","onExtend: <:NUM:> <:NUM:> <:NUM:> <:NUM:>"
"51","20171223-22:15:33:144","Step_SPUtils","30002312"," getTodayTotalDetailSteps = 1514038440000##7013##548365##8661##12836##27176966","E6","getTodayTotalDetailSteps = <:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>"
"52","20171223-22:15:33:144","Step_SPUtils","30002312","setTodayTotalDetailSteps=1514038440000##7014##548365##8661##12931##27177463","E7","setTodayTotalDetailSteps= <:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>"
"53","20171223-22:15:33:148","Step_ExtSDM","30002312","calculateCaloriesWithCache totalCalories=126925","E8","calculateCaloriesWithCache totalCalories= <:NUM:>"
"54","20171223-22:15:33:149","Step_ExtSDM","30002312","calculateAltitudeWithCache totalAltitude=240","E9","calculateAltitudeWithCache totalAltitude= <:NUM:>"
"55","20171223-22:15:33:149","Step_StandReportReceiver","30002312","REPORT : 7014 5007 150239 240","E10","REPORT : <:NUM:> <:NUM:> <:NUM:> <:NUM:>"
"56","20171223-22:15:33:341","Step_LSC","30002312","onStandStepChanged 3587","E1","onStandStepChanged <:NUM:>"
"57","20171223-22:15:33:370","Step_LSC","30002312","onExtend:1514038534000 1 0 4","E2","onExtend: <:NUM:> <:NUM:> <:NUM:> <:NUM:>"
"58","20171223-22:15:33:643","Step_SPUtils","30002312"," getTodayTotalDetailSteps = 1514038440000##7014##548365##8661##12931##27177463","E6","getTodayTotalDetailSteps = <:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>"
"59","20171223-22:15:33:644","Step_SPUtils","30002312","setTodayTotalDetailSteps=1514038440000##7015##548365##8661##13026##27177962","E7","setTodayTotalDetailSteps= <:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>"
"60","20171223-22:15:33:658","Step_ExtSDM","30002312","calculateCaloriesWithCache totalCalories=126947","E8","calculateCaloriesWithCache totalCalories= <:NUM:>"
"61","20171223-22:15:33:662","Step_ExtSDM","30002312","calculateAltitudeWithCache totalAltitude=240","E9","calculateAltitudeWithCache totalAltitude= <:NUM:>"
"62","20171223-22:15:33:663","Step_StandReportReceiver","30002312","REPORT : 7015 5008 150261 240","E10","REPORT : <:NUM:> <:NUM:> <:NUM:> <:NUM:>"
"63","20171223-22:15:34:711","Step_LSC","30002312","onStandStepChanged 3588","E1","onStandStepChanged <:NUM:>"
"64","20171223-22:15:34:723","Step_LSC","30002312","onExtend:1514038535000 1 0 4","E2","onExtend: <:NUM:> <:NUM:> <:NUM:> <:NUM:>"
"65","20171223-22:15:34:723","Step_StandReportReceiver","30002312","onReceive action: android.intent.action.SCREEN_OFF","E3","onReceive action: android.intent.action.SCREEN <:*:>"
"66","20171223-22:15:34:848","Step_LSC","30002312","onStandStepChanged 3589","E1","onStandStepChanged <:NUM:>"
"67","20171223-22:15:34:851","Step_LSC","30002312","onExtend:1514038535000 1 0 4","E2","onExtend: <:NUM:> <:NUM:> <:NUM:> <:NUM:>"
"68","20171223-22:15:35:11","Step_SPUtils","30002312"," getTodayTotalDetailSteps = 1514038440000##7015##548365##8661##13026##27177962","E6","getTodayTotalDetailSteps = <:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>"
"69","20171223-22:15:35:12","Step_SPUtils","30002312","setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13121##27179330","E7","setTodayTotalDetailSteps= <:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>"
"70","20171223-22:15:35:20","Step_ExtSDM","30002312","calculateCaloriesWithCache totalCalories=126989","E8","calculateCaloriesWithCache totalCalories= <:NUM:>"
"71","20171223-22:15:35:22","Step_ExtSDM","30002312","calculateAltitudeWithCache totalAltitude=240","E9","calculateAltitudeWithCache totalAltitude= <:NUM:>"
"72","20171223-22:15:35:23","Step_ScreenUtil","30002312","isScreenOn true","E11","isScreenOn true"
"73","20171223-22:15:35:23","Step_StandReportReceiver","30002312","screen status unknown,think screen on","E12","screen status unknown,think screen on"
"74","20171223-22:15:35:23","Step_StandReportReceiver","30002312","REPORT : 7017 5010 150304 240","E10","REPORT : <:NUM:> <:NUM:> <:NUM:> <:NUM:>"
"75","20171223-22:15:35:96","Step_StandReportReceiver","30002312","onReceive action: android.intent.action.SCREEN_ON","E3","onReceive action: android.intent.action.SCREEN <:*:>"
"76","20171223-22:15:35:97","Step_LSC","30002312","processHandleBroadcastAction action:android.intent.action.SCREEN_ON","E4","processHandleBroadcastAction action: android.intent.action.SCREEN ON"
"77","20171223-22:15:35:97","Step_StandStepCounter","30002312","flush sensor data","E5","flush sensor data"
