"EventId","EventTemplate","Occurrences"
"E0","onStandStepChanged <:NUM:>","260"
"E1","onExtend: <:NUM:> <:NUM:> <:NUM:> <:NUM:>","273"
"E2","onReceive action: android.intent.action.SCREEN ON","1"
"E3","processHandleBroadcastAction action: android.intent.action.SCREEN ON","2"
"E4","flush sensor data","17"
"E5","getTodayTotalDetailSteps = <:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>","242"
"E6","setTodayTotalDetailSteps= <:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>##<:NUM:>","241"
"E7","calculateCaloriesWithCache totalCalories= <:NUM:>","241"
"E8","calculateAltitudeWithCache totalAltitude= <:NUM:>","241"
"E9","REPORT : <:NUM:> <:NUM:> <:NUM:> <:NUM:>","136"
"E10","onReceive action: android.intent.action.SCREEN <:*:>","33"
"E11","isScreenOn true","1"
"E12","screen status unknown,think screen on","1"
"E13","processHandleBroadcastAction action: <:*:> <:*:>","159"
"E14","flushTempCacheToDB by stand","1"
"E15","Alarm uploadStaticsToDB totalSteps= 7163Calories: 153367Floor: 240Distance: <:NUM:>","1"
"E16","writeDataToDB size <:NUM:>","1"
"E17","upLoadOneMinuteDataToEngine time= <:NUM:>,<:NUM:>,<:NUM:>,<:NUM:>,<:NUM:>","5"
"E18","getBinderPackageName packageName = com.huawei.health","8"
"E19","getAppContext() isAppValid health or wear, packageName = com.huawei.health","2"
"E20","insertHiHealthData() checkAppType <:NUM:> appID = <:NUM:>","2"
"E21","insertHiHealthData() size = <:NUM:>,app = <:NUM:>,One Data Type = <:NUM:>,packageName = com.huawei.health,writeStatType = <:NUM:>","2"
"E22","saveHealthDetailData() deviceID = <:NUM:>,clientID= <:NUM:>,id= <:NUM:>","2"
"E23","saveStatData() type = <:NUM:>,time = <:NUM:>,statClient = <:NUM:>,who is <:NUM:>","4"
"E24","new date = <:NUM:>, type= <:NUM:>,<:NUM:>.<:NUM:>,old= <:NUM:>.<:NUM:>","17"
"E25","saveHealthDetailData() saveOneDetailData fail hiHealthData = <:NUM:>,type = <:NUM:>","2"
"E26","bulkSaveDetailHiHealthData() size = <:NUM:>,totalTime = <:NUM:>","2"
"E27","startListenerChange subscribeList = [<:NUM:>]","2"
"E28","insertHiHealthData() bulkSaveDetailHiHealthData fail errorCode = <:NUM:>,errorMessage = ERR DATA INSERT","1"
"E29","insertHiHealthData() end totalTime = <:NUM:>","2"
"E30","uploadStaticsToDB() onResult type = <:NUM:> obj= true","1"
"E31","uploadStaticsToDB failed message= true","1"
"E32","checkInsertStatus stepSum or calorieSum is enough","1"
"E33","checkInsertStatus <:*:> or <:*:> is enough","3"
"E34","stepSyncOrNot appSynTimes is <:NUM:>, statsyncTimes is <:NUM:>","2"
"E35","startInsertSportSync start auto sync,app is <:NUM:>","2"
"E36","checkFirstSyncByType no such data in db ,type is <:NUM:> deviceCode is <:NUM:>","2"
"E37","startInsertSportSync first <:NUM:> steps sync,do all sync","2"
"E38","startSync hiSyncOption = HiSyncOption{syncAction= <:NUM:>, syncMethod= <:NUM:>, syncScope= <:NUM:>, syncDataType= <:NUM:>, syncModel= <:NUM:>, pushAction= <:NUM:>},app = <:NUM:> who = <:NUM:>","5"
"E39","needAutoSync autoSyncSwitch is open","5"
"E40","initDataPrivacy the dataPrivacy switch is open, start push health data!","5"
"E41","initDataPrivacy the dataPrivacy is true","5"
"E42","initUserPrivacy the userPrivacy switch is open, start push user data!","5"
"E43","initUserPrivacy the userPrivacy is true","5"
"E44","ifCanSync not! no cloud version","5"
"E45","sendSyncFailedBroadcast","5"
"E46","saveRealTimeHealthDatasStat() size = <:NUM:>,totalTime = <:NUM:>","1"
"E47","InsertCallBack() onSuccess type = <:NUM:> data= true","1"
"E48","InsertEvent success begin: <:NUM:> end: <:NUM:>","1"
"E49","setWriteDBLastDataMinute= <:NUM:>","1"
"E50","setWriteDBLastDataMinute success","1"
"E51","flush2DB result success","1"
"E52","timeStamp back,extendReportTimeStamp= <:NUM:>","5"
"E53","startTimer start autoSync","3"
"E54","stepSyncOrNot appSynTimes is <:NUM:>","3"
"E55","getTodaySportData mStepsRecordManager= com.huawei.health.g.c@8a2a501","6"
"E56","theDayChanged <:NUM:>","1"
"E57","initEnviroument","1"
"E58","getStepCounterStatus","1"
"E59","getStepCounterStatus= true","1"
"E60","reStartStepCounter","1"
"E61","registersensorsuccess: true","1"
"E62","clear()","1"
"E63","getTodayBasicStandardSteps= <:NUM:>##<:NUM:>##<:NUM:>","2"
"E64","tryToRecordAsBasicStepData bWrite true","1"
"E65","getDiffTotalSteps= <:NUM:>##<:NUM:>","2"
"E66","setBasicStandardSteps basicStandardStep= <:NUM:> restartSteps= <:NUM:>","1"
"E67","setDiffTotalSteps= <:NUM:>","1"
"E68","tryToReloadTodayBasicSteps1514044800223| <:NUM:>| <:NUM:>| <:NUM:>","1"
"E69","reload : <:NUM:> restar <:NUM:>","1"
"E70","next day: steps0mLastReport7214","1"
"E71","setGoalNotifiShownRecord <:NUM:> false","1"
"E72","closeNotification...","1"
"E73","deleteHealthNotification()","1"
"E74","checkCurrentDay a new day comes , reset basicSyncCondition, currentDay is <:NUM:> oldDay is <:NUM:>","1"
