"EventId","EventTemplate","Occurrences"
"E0","authentication failure; logname= uid= <:NUM:> euid= <:NUM:> tty= NODEVssh ruser= rhost= <*>","14"
"E1","check pass; user unknown","117"
"E2","authentication failure; logname= uid= <:NUM:> euid= <:NUM:> tty= NODEVssh ruser= rhost= <:NUM:>-<:NUM:>-<:NUM:>-<:NUM:>.hinet-ip.hinet.net user= root","10"
"E3","session opened for user cyrus by (uid= <:NUM:>)","1"
"E4","session closed for user cyrus","1"
"E5","ALERT exited abnormally with [<:NUM:>]","43"
"E6","session opened for user <:*:> by (uid= <:NUM:>)","78"
"E7","session closed for user <:*:>","122"
"E8","authentication failure; logname= uid= <:NUM:> euid= <:NUM:> tty= NODEVssh ruser= rhost= <:*:>","88"
"E9","connection from <*> (<:NUM:>-<:NUM:>-<:NUM:>-<:NUM:>.bflony.adelphia.net) at Fri Jun <:NUM:> <*> <:NUM:>","8"
"E10","authentication failure; logname= uid= <:NUM:> euid= <:NUM:> tty= NODEVssh ruser= rhost= <:*:> user= <:*:>","362"
"E11","connection from <*> <:*:> at Fri Jun <:NUM:> <*> <:NUM:>","7"
"E12","connection from <*> <:*:> at <:*:> Jun <:NUM:> <*> <:NUM:>","147"
"E13","User unknown timed out after <:NUM:> seconds at Sat Jun <:NUM:> <*> <:NUM:>","1"
"E14","cupsd shutdown succeeded","1"
"E15","cupsd <:*:> succeeded","11"
"E16","restart.","7"
"E17","Received SNMP packet(s) from <*>","1"
"E18","Authentication failed from <*> (<*>): Permission denied in replay cache code","8"
"E19","Kerberos authentication failed","23"
"E20","Authentication failed from <*> (<*>): Software caused connection abort","15"
"E21","connection from <*> <:*:> at <:*:> <:*:> <:NUM:> <*> <:NUM:>","747"
"E22","*** info [mice.c(<:NUM:>)]:","1"
"E23","imps2: Auto-detected intellimouse PS/<:NUM:>","1"
"E24","session opened for user <:*:> by <:*:> <:NUM:>)","44"
"E25","ROOT LOGIN ON tty2","1"
"E26","removing device node '/udev/vcsa2'","1"
"E27","removing device node <:*:>","3"
"E28","creating device node '/udev/vcs2'","1"
"E29","creating device node <:*:>","3"
"E30","authentication failure; logname= uid= <:NUM:> euid= <:NUM:> tty= <:*:> <:*:> <:*:> <:*:>","16"
"E31","Couldn't authenticate user","1"
"E32","ANONYMOUS FTP LOGIN FROM <*>, (anonymous)","2"
"E33","notify question section contains no SOA","16"
"E34","getpeername (ftpd): Transport endpoint is not connected","4"
"E35","warning: can't get client address: Connection reset by peer","2"
"E36","syslogd startup succeeded","1"
"E37","klogd <:NUM:>.<:NUM:>.<:NUM:>, log source = /proc/kmsg started.","1"
"E38","Linux version <:NUM:>.<:NUM:>.<:NUM:>-<:NUM:>.<:NUM:> (bhcompile@bugs.build.redhat.com) (gcc version <:NUM:>.<:NUM:>.<:NUM:> <:NUM:> (Red Hat Linux <:NUM:>.<:NUM:>.<:NUM:>-<:NUM:>)) #<:NUM:> Sat May <:NUM:> <*> EDT <:NUM:>","1"
"E39","BIOS-provided physical RAM map:","1"
"E40","BIOS-e820: <:SEQ:>- 00000000000a0000 (usable)","1"
"E41","BIOS-e820: 00000000000f0000 - <:SEQ:>(reserved)","1"
"E42","BIOS-e820: <:SEQ:>- <:*:> (usable)","1"
"E43","BIOS-e820: <:*:> - <:SEQ:>(reserved)","2"
"E44","0MB HIGHMEM available.","1"
"E45","126MB LOWMEM available.","1"
"E46","zapping low mappings.","1"
"E47","klogd startup succeeded","1"
"E48","On node <:NUM:> totalpages: <:NUM:>","1"
"E49","DMA zone: <:NUM:> pages, LIFO batch: <:NUM:>","1"
"E50","Normal zone: <:NUM:> pages, LIFO batch: <:NUM:>","1"
"E51","irqbalance startup succeeded","1"
"E52","HighMem zone: <:NUM:> pages, LIFO batch: <:NUM:>","1"
"E53","DMI <:NUM:>.<:NUM:> present.","1"
"E54","ACPI disabled because your bios is from <:NUM:> and too old","1"
"E55","You can enable it with acpi= force","1"
"E56","Built <:NUM:> zonelists","1"
"E57","Kernel command line: ro root= LABEL= / rhgb quiet","1"
"E58","mapped 4G/4G trampoline to ffff3000.","1"
"E59","Initializing CPU#<:NUM:>","1"
"E60","CPU <:NUM:> irqstacks, hard= <:NUM:> soft= <:NUM:>","1"
"E61","portmap startup succeeded","1"
"E62","PID hash table entries: <:NUM:> (order <:NUM:>: <:NUM:> bytes)","1"
"E63","Detected <:NUM:>.<:NUM:> MHz processor.","1"
"E64","Version <:NUM:>.<:NUM:>.<:NUM:> Starting","1"
"E65","Using tsc for high-res timesource","1"
"E66","rpc.statd startup succeeded","1"
"E67","Console: colour VGA+ 80x25","1"
"E68","Memory: 125312k/129720k available (1540k kernel code, 3860k reserved, 599k data, 144k init, 0k highmem)","1"
"E69","Calibrating delay loop... <:NUM:>.<:NUM:> BogoMIPS","1"
"E70","Security Scaffold v1.<:NUM:>.<:NUM:> initialized","1"
"E71","SELinux: Initializing.","1"
"E72","SELinux: Starting in permissive mode","1"
"E73","There is already a security framework initialized, register security failed.","1"
"E74","Failure registering capabilities with the kernel","1"
"E75","selinux register security: Registering secondary module capability","1"
"E76","Capability LSM initialized","1"
"E77","rpc.idmapd startup succeeded","1"
"E78","Dentry cache hash table entries: <:NUM:> (order: <:NUM:>, <:NUM:> bytes)","1"
"E79","Inode-cache hash table entries: <:NUM:> (order: <:NUM:>, <:NUM:> bytes)","1"
"E80","Mount-cache hash table entries: <:NUM:> (order: <:NUM:>, <:NUM:> bytes)","1"
"E81","CPU: L1 I cache: 16K, L1 D cache: 16K","1"
"E82","CPU: L2 cache: 256K","1"
"E83","Intel machine check architecture supported.","1"
"E84","Intel machine check reporting enabled on CPU#<:NUM:>.","1"
"E85","CPU: Intel Pentium III (Coppermine) stepping <:NUM:>","1"
"E86","Enabling fast FPU save and restore... done.","1"
"E87","Enabling unmasked SIMD FPU exception support... done.","1"
"E88","Checking 'hlt' instruction... OK.","1"
"E89","Initializing random number generator: succeeded","1"
"E90","POSIX conformance testing by UNIFIX","1"
"E91","NET: Registered protocol family <:NUM:>","1"
"E92","PCI: PCI BIOS revision <:NUM:>.<:NUM:> entry at <:HEX:>, last bus= <:NUM:>","1"
"E93","PCI: Using configuration type <:NUM:>","1"
"E94","mtrr: v2.<:NUM:> (<:NUM:>)","1"
"E95","ACPI: Subsystem revision <:NUM:>","1"
"E96","ACPI: Interpreter disabled.","1"
"E97","Linux Plug and Play Support v0.<:NUM:> (c) Adam Belay","1"
"E98","Starting pcmcia: succeeded","1"
"E99","usbcore: registered new driver usbfs","1"
"E100","usbcore: registered new driver <:*:>","1"
"E101","ACPI: ACPI tables contain no PCI IRQ routing entries","1"
"E102","PCI: Invalid ACPI-PCI IRQ routing table","1"
"E103","PCI: Probing PCI hardware","1"
"E104","PCI: Probing PCI hardware (bus <:NUM:>)","1"
"E105","Transparent bridge - <:NUM:>: <:NUM:>: 1e.<:NUM:>","1"
"E106","PCI: Using IRQ router PIIX/ICH [<:NUM:>/<:NUM:>] at <:NUM:>: <:NUM:>: 1f.<:NUM:>","1"
"E107","apm: BIOS version <:NUM:>.<:NUM:> Flags <:HEX:> (Driver version <:NUM:>.16ac)","1"
"E108","audit: initializing netlink socket (disabled)","1"
"E109","kernel.core uses pid = <:NUM:>","1"
"E110","HCI daemon ver <:NUM:>.<:NUM:> started","1"
"E111","hcid startup succeeded","1"
"E112","audit(<:NUM:>.<:NUM:>: <:NUM:>): initialized","1"
"E113","Setting network parameters: succeeded","1"
"E114","sdpd startup succeeded","1"
"E115","sdpd v1.<:NUM:> started","1"
"E116","Total HugeTLB memory allocated, <:NUM:>","1"
"E117","Bringing up loopback interface: succeeded","1"
"E118","VFS: Disk quotas dquot <:NUM:>.<:NUM:>.<:NUM:>","1"
"E119","Dquot-cache hash table entries: <:NUM:> (order <:NUM:>, <:NUM:> bytes)","1"
"E120","SELinux: Registering netfilter hooks","1"
"E121","Initializing Cryptographic API","1"
"E122","pci hotplug: PCI Hot Plug PCI Core version: <:NUM:>.<:NUM:>","1"
"E123","isapnp: Scanning for PnP cards...","1"
"E124","isapnp: No Plug & Play device found","1"
"E125","Real Time Clock Driver v1.<:NUM:>","1"
"E126","Linux agpgart interface v0.<:NUM:> (c) Dave Jones","1"
