"EventId","EventTemplate","Occurrences"
"E0","IOThunderboltSwitch<<:NUM:>>(<:HEX:>)::listenerCallback - Thunderbolt HPD packet for route = <:HEX:> port = <:NUM:> unplug = <:NUM:>","36"
"E1","Thermal pressure state: <:NUM:> Memory pressure state: <:NUM:>","39"
"E2","FA||Url||taskID[<:NUM:>] dealloc","17"
"E3","ARPT: <:NUM:>.<:NUM:>: AirPort Brcm43xx::syncPowerState: WWEN[enabled]","1"
"E4","ARPT: <:NUM:>.<:NUM:>: AirPort <:*:> <:*:>","15"
"E5","mDNS DeregisterInterface: Frequent transitions for interface awdl0 (FE80:<:NUM:>:<:NUM:>:<:NUM:>:D8A5:90FF:FEF5:7FFF)","2"
"E6","ARPT: <:NUM:>.<:NUM:>: IOPMPowerSource Information: onSleep, SleepType: Normal Sleep, 'ExternalConnected': Yes, 'TimeRemaining': <:NUM:>,","2"
"E7","ARPT: <:NUM:>.<:NUM:>: wl0: wl update tcpkeep seq: Original Seq: <:NUM:>, Ack: <:NUM:>, Win size: <:NUM:>","6"
"E8","ARPT: <:NUM:>.<:NUM:>: ARPT: Wake Reason: Wake on Scan offload","5"
"E9","<:NUM:>-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:] block invoke unexpected switch value <:NUM:>","16"
"E10","IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL","15"
"E11","ARPT: <:NUM:>.<:NUM:>: wl0: MDNS: <:NUM:> SRV Recs, <:NUM:> TXT Recs","9"
"E12","AppleCamIn::systemWakeCall - messageType = <:HEX:>","56"
"E13","setting hostname to ""authorMacBook-Pro.local""","3"
"E14","<*>: scheduler evaluate activity told me to run this job; however, but the start time isn't for <:NUM:> seconds. Ignoring.","165"
"E15","CCIOReporterFormatter::addRegistryChildToChannelDictionary streams <:NUM:>","7"
"E16","[<:NUM:>:<:NUM:>:<:NUM:>.<:NUM:>] <<<< CRABS >>>> crabsFlumeHostAvailable: [<:HEX:>] Byte flume reports host available again.","3"
"E17","AirPort: Link Down on awdl0. Reason <:NUM:> (Unspecified).","7"
"E18","PM response took <:NUM:> ms (<:NUM:>, powerd)","7"
"E19","ARPT: <:NUM:>.<:NUM:>: wl0: Roamed or switched channel, reason #<:NUM:>, bssid <:ID:>, last RSSI <:NUM:>","4"
"E20","nw nat64 post new ifstate successfully changed NAT64 ifstate from <:HEX:> to <:HEX:>","15"
"E21","IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(true)","11"
"E22","network reachability changed : network is not reachable, netbiosd is shutting down","1"
"E23","CCFile::captureLogRun() Exiting CCFile::captureLogRun","22"
"E24","<*>(<:NUM:>) deny network-outbound /private/var/run/mDNSResponder","29"
"E25","ARPT: <:NUM:>.<:NUM:>: wl0: MDNS: IPV6 Addr: <:NUM:>:f140:<:NUM:>:<:NUM:>:<:ID:>","2"
"E26","AirPort: Link Up on en0","1"
"E27","Sandbox: <*>(<:NUM:>) deny(<:NUM:>) network-outbound /private/var/run/mDNSResponder","5"
"E28","AirPort: Link Up on <:*:>","12"
"E29","AppleThunderboltGenericHAL::earlyWake - complete - took <:NUM:> milliseconds","22"
"E30","mDNS DeregisterInterface: Frequent transitions for interface <:*:> <:*:>","1"
"E31","AppleThunderboltNHIType2::waitForOk2Go2Sx - retries = <:NUM:>","10"
"E32","ARPT: <:NUM:>.<:NUM:>: wl0: wl update tcpkeep seq: Updated seq/ack/win from UserClient Seq <:NUM:>, Ack <:NUM:>, Win size <:NUM:>","10"
"E33","en0::IO80211Interface::postMessage bssid changed","10"
"E34","AppleThunderboltNHIType2::waitForOk2Go2Sx - intel rp = <:NUM:> dlla reporting supported = <:NUM:>","6"
"E35","mDNS <:*:> Frequent transitions for interface <:*:> <:*:>","6"
"E36","AppleCamIn::wakeEventHandlerThread","20"
"E37","ARPT: <:NUM:>.<:NUM:>: wl0: setup keepalive: Local port: <:NUM:>, Remote port: <:NUM:>","8"
"E38","-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (null) UASuggestedActionType=<:NUM:> (null)/(null) opts=(null) when=<:NUM:>-<:NUM:>-<:NUM:> <:NUM:>:<:NUM:>:<:NUM:> <:NUM:> confidence=<:NUM:> from=(null)/(null) (UABestAppSuggestionManager.m #<:NUM:>)","14"
"E39","en0: channel changed to <:NUM:>","1"
"E40","ARPT: <:NUM:>.<:NUM:>: AQM agg results <:HEX:> len hi/lo: <:HEX:> <:HEX:> BAbitmap(<:NUM:>-<:NUM:>) <:NUM:> <:NUM:> <:NUM:> <:NUM:>","7"
"E41","CCFile::captureLog Received Capture notice id: <:NUM:>.<:NUM:>, reason = AuthFail:sts:<:NUM:> rsn:<:NUM:>","2"
"E42","IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from AUTO to SUSPENDED","2"
"E43","Unrecognized attribute value: t:AbchPersonItemType","8"
"E44","SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=<*> Code=<:NUM:> ""Account identity not set"" UserInfo={NSDescription=Account identity not set}","12"
"E45","CFPasteboardRef CFPasteboardCreate(CFAllocatorRef, CFStringRef) : failed to create global data","2"
"E46","<:NUM:>:<:NUM:>:<:NUM:>.<:NUM:> : BTLE scanner Powered On","4"
"E47","button report: <:HEX:>","12"
"E48","<:NUM:>:<:NUM:>:<:NUM:>.<:NUM:> : BTLE discovered device with hash <01faa200 <:NUM:> <:NUM:>>","1"
"E49","securityd xpc dictionary handler cloudd[<:NUM:>] copy matching Error Domain=NSOSStatusErrorDomain Code=<:NUM:> ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=query missing class name}","4"
"E50","Location icon should now be in state 'Inactive'","1"
"E51","ARPT: <:NUM:>.<:NUM:>: wl0: setup keepalive: interval <:NUM:>, retry interval <:NUM:>, retry count <:NUM:>","11"
"E52","ARPT: <:NUM:>.<:NUM:>: wl0: MDNS: <:*:> Addr: <:*:>","30"
"E53","<:NUM:>-[NETClientConnection evaluateCrazyIvan46] block invoke CI46 - Hit by torpedo! QQ.<:NUM:> tc19060 <*>:<:NUM:>","1"
"E54","Setting BTCoex Config: enable 2G:<:NUM:>, profile 2g:<:NUM:>, enable 5G:<:NUM:>, profile 5G:<:NUM:>","7"
"E55","Captive: [CNInfoNetworkActive:<:NUM:>] en0: SSID 'CalVisitor' making interface primary (cache indicates network not captive)","3"
"E56","IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from <:*:> to <:*:>","18"
"E57","-[NetworkAnalyticsEngine writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] Hashing of the primary key failed. Dropping the journal record.","17"
"E58","<:NUM:>:<:NUM:>:<:NUM:>.<:NUM:> : Finished generating hashes","1"
