"EventId","EventTemplate","Occurrences"
"E0","reverse mapping checking getaddrinfo for <*> [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!","85"
"E1","Invalid user webmaster from <*>","1"
"E2","input userauth request: invalid user webmaster [preauth]","1"
"E3","pam unix(sshd:auth): check pass; user unknown","135"
"E4","pam unix(sshd:auth): authentication failure; logname= uid=<:NUM:> euid=<:NUM:> tty=ssh ruser= rhost=<*>","110"
"E5","Failed password for invalid user webmaster from <*> port <:NUM:> ssh2","1"
"E6","Connection closed by <*> [preauth]","34"
"E7","Invalid user <:*:> from <*>","112"
"E8","input userauth request: invalid user <:*:> [preauth]","112"
"E9","Failed password for invalid user <:*:> from <*> port <:NUM:> ssh2","11"
"E10","Received disconnect from <*>: <:NUM:>: Bye Bye [preauth]","121"
"E11","pam unix(sshd:auth): authentication failure; logname= uid=<:NUM:> euid=<:NUM:> tty=ssh ruser= rhost=<*>.<*> user=root","1"
"E12","Failed password for root from <*> port <:NUM:> ssh2","33"
"E13","message repeated <:NUM:> times: [ Failed password for root from <*> port <:NUM:> ssh2]","2"
"E14","Disconnecting: Too many authentication failures for root [preauth]","2"
"E15","PAM <:NUM:> more authentication failures; logname= uid=<:NUM:> euid=<:NUM:> tty=ssh ruser= rhost=<*>.<*> user=root","1"
"E16","PAM service(sshd) ignoring max retries; <:NUM:> > <:NUM:>","7"
"E17","pam unix(sshd:auth): authentication failure; logname= uid=<:NUM:> euid=<:NUM:> tty=ssh ruser= <:*:> user=root","32"
"E18","Did not receive identification string from <*>","10"
"E19","error: Received disconnect from <*>: <:NUM:>: <*>: Auth fail [preauth]","2"
"E20","pam unix(sshd:auth): authentication failure; logname= uid=<:NUM:> euid=<:NUM:> tty=ssh ruser= <:*:> <:*:>","351"
"E21","Failed password for <:*:> from <*> port <:NUM:> ssh2","350"
"E22","Received disconnect from <*>: <:NUM:>: Closed due to user request. [preauth]","7"
"E23","Failed <:*:> for invalid user <:*:> from <*> port <:NUM:> ssh2","127"
"E24","PAM <:NUM:> more authentication failures; logname= uid=<:NUM:> euid=<:NUM:> tty=ssh ruser= rhost=<*>","2"
"E25","PAM <:NUM:> more authentication <:*:> logname= uid=<:NUM:> euid=<:NUM:> tty=ssh ruser= rhost=<*>","6"
"E26","PAM <:NUM:> more authentication failures; logname= uid=<:NUM:> euid=<:NUM:> tty=ssh ruser= <:*:> user=root","1"
"E27","error: Received disconnect from <*>: <:NUM:>: No more user authentication methods available. [preauth]","45"
"E28","Accepted password for fztu from <*> port <:NUM:> ssh2","1"
"E29","pam unix(sshd:session): session opened for user fztu by (uid=<:NUM:>)","1"
"E30","Received disconnect from <*>: <:NUM:>: <:*:> <:*:> <:*:>","293"
"E31","pam unix(sshd:session): session closed for user fztu","1"
"E32","Disconnecting: Too many authentication failures for <:*:> [preauth]","1"
"E33","fatal: Write failed: Connection reset by peer [preauth]","1"
