"EventId","EventTemplate","Occurrences"
"E0","<*> ""GET <*>HTTP<*>status: <*> len: <*> time: <*>.<*>","14"
"E1","[instance: b<*>-fe<*>a-<*>b-b<*>cc-<*>e<*>b<*>cd<*>d] VM Started (Lifecycle Event)","1"
"E2","[instance: b<*>-fe<*>a-<*>b-b<*>cc-<*>e<*>b<*>cd<*>d] VM <:*:> (Lifecycle Event)","4"
"E3","[instance: b<*>-fe<*>a-<*>b-b<*>cc-<*>e<*>b<*>cd<*>d] During sync power state the instance has a pending task (spawning). Skip.","2"
"E4","image <*>dd<*>-<*>c<*>-<*>fbb-<*>c<*>-<*>fbe<*>b<*> at (<*>checking","82"
"E5","image <*>dd<*>-<*>c<*>-<*>fbb-<*>c<*>-<*>fbe<*>b<*> at (<*>in use: on this node <*> local, <*> on other nodes sharing this instance storage","82"
"E6","Active base files: /var/lib/nova/instances/ base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>","82"
"E7","Creating event network-vif-plugged: e<*>ffd-<*>cd<*>-<*>-bddd-<*>f<*>b<*> for instance b<*>-fe<*>a-<*>b-b<*>cc-<*>e<*>b<*>cd<*>d","1"
"E8","<*> <:*:> <*>HTTP<*>status: <*> len: <*> time: <*>.<*>","1003"
"E9","[instance: b<*>-fe<*>a-<*>b-b<*>cc-<*>e<*>b<*>cd<*>d] Instance spawned successfully.","1"
"E10","[instance: b<*>-fe<*>a-<*>b-b<*>cc-<*>e<*>b<*>cd<*>d] Took <*>.<*> seconds to spawn the instance on the hypervisor.","1"
"E11","[instance: b<*>-fe<*>a-<*>b-b<*>cc-<*>e<*>b<*>cd<*>d] Took <*>.<*> seconds to build instance.","1"
"E12","Auditing locally available compute resources for node cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us","15"
"E13","Total usable vcpus: <*>, total allocated vcpus: <*>","15"
"E14","Final resource view: name=cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us phys ram=<*>MB used ram=<*>MB phys disk=<*>GB used disk=<*>GB total vcpus=<*> used vcpus=<*> pci stats=[]","15"
"E15","Compute service record updated for cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us: cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us","15"
"E16","[instance: b<*>-fe<*>a-<*>b-b<*>cc-<*>e<*>b<*>cd<*>d] Terminating instance","1"
"E17","[instance: b<*>-fe<*>a-<*>b-b<*>cc-<*>e<*>b<*>cd<*>d] Instance <:*:> successfully.","1"
"E18","[instance: b<*>-fe<*>a-<*>b-b<*>cc-<*>e<*>b<*>cd<*>d] Deleting instance files /var/lib/nova/instances/b<*>-fe<*>a-<*>b-b<*>cc-<*>e<*>b<*>cd<*>d del","1"
"E19","[instance: b<*>-fe<*>a-<*>b-b<*>cc-<*>e<*>b<*>cd<*>d] <:*:> <:*:> <:*:>","1"
