"EventId","EventTemplate","Occurrences"
"E0","<*> open through proxy <*> HTTPS","118"
"E1","<*> close, <:NUM:> bytes sent, <:NUM:> bytes received, lifetime <*>","355"
"E2","<*> close, <:NUM:> bytes sent, <:NUM:> bytes (<*> <*>) received, lifetime <*>","2"
"E3","<*> close, <:NUM:> bytes (<*> <*>) sent, <:NUM:> bytes (<*> <*>) received, lifetime <*>","7"
"E4","<*> close, <:NUM:> bytes <:*:> <:*:> <:*:> <:*:> <:*:> received, lifetime <*>","287"
"E5","<*> close, <:NUM:> bytes (<*> <*>) sent, <:NUM:> bytes <:*:> <*>) received, lifetime <*>","150"
"E6","<*> open through proxy <*> <:*:>","838"
"E7","<*> error : A connection request was canceled before the completion.","31"
"E8","<*> error : Could not connect through proxy <*> - Proxy closed the connection unexpectedly.","3"
"E9","<*> error : Could not connect through proxy <*> - Proxy server cannot establish a connection with the target, status code <:NUM:>","17"
"E10","<*> close, <:NUM:> bytes <:*:> <*>) sent, <:NUM:> bytes <:*:> <*>) received, lifetime <*>","146"
"E11","<*> error : Could not connect to proxy <*> - Could not resolve <*> error <:NUM:>","18"
"E12","awqiizxequsixgr:<:NUM:> error : Could not connect to proxy <*> - Could not resolve <*> error <:NUM:>","1"
"E13","wpad:<:NUM:> error : Could not connect to proxy <*> - Could not resolve <*> error <:NUM:>","1"
"E14","<*> error : Could not connect to proxy <*> - <:*:> <:*:> <:*:> <:*:> error <:NUM:>","26"
