"LineId","Date","Time","Level","Component","Content","EventId","EventTemplate"
"1","17/06/09","20:10:40","INFO","executor.CoarseGrainedExecutorBackend","Registered signal handlers for [TERM, HUP, INT]","E1","Registered signal handlers for [TERM, HUP, INT]"
"2","17/06/09","20:10:40","INFO","spark.SecurityManager","Changing view acls to: yarn,curi","E2","Changing view acls to: yarn,curi"
"3","17/06/09","20:10:40","INFO","spark.SecurityManager","Changing modify acls to: yarn,curi","E2","Changing <:*:> acls to: yarn,curi"
"4","17/06/09","20:10:40","INFO","spark.SecurityManager","SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)","E3","SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)"
"5","17/06/09","20:10:41","INFO","spark.SecurityManager","Changing view acls to: yarn,curi","E2","Changing <:*:> acls to: yarn,curi"
"6","17/06/09","20:10:41","INFO","spark.SecurityManager","Changing modify acls to: yarn,curi","E2","Changing <:*:> acls to: yarn,curi"
"7","17/06/09","20:10:41","INFO","spark.SecurityManager","SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)","E3","SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)"
"8","17/06/09","20:10:41","INFO","slf4j.Slf4jLogger","Slf4jLogger started","E4","Slf4jLogger started"
"9","17/06/09","20:10:41","INFO","Remoting","Starting remoting","E5","Starting remoting"
"10","17/06/09","20:10:41","INFO","Remoting","Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904]","E6","Remoting started; listening on addresses : [akka.tcp: //sparkExecutorActorSystem@mesos-slave-<:NUM:>: <:NUM:>]"
"11","17/06/09","20:10:41","INFO","util.Utils","Successfully started service 'sparkExecutorActorSystem' on port 55904.","E7","Successfully started service 'sparkExecutorActorSystem' on port <:NUM:>."
"12","17/06/09","20:10:41","INFO","storage.DiskBlockManager","Created local directory at /opt/hdfs/nodemanager/usercache/curi/appcache/application_1485248649253_0147/blockmgr-70293f72-844a-4b39-9ad6-fb0ad7e364e4","E8","Created local directory at /opt/hdfs/nodemanager/usercache/curi/appcache/application <:NUM:> <:NUM:>/blockmgr-70293f72-844a-4b39-9ad6-fb0ad7e364e4"
"13","17/06/09","20:10:41","INFO","storage.MemoryStore","MemoryStore started with capacity 17.7 GB","E9","MemoryStore started with capacity <:NUM:>.<:NUM:> <*>"
"14","17/06/09","20:10:42","INFO","executor.CoarseGrainedExecutorBackend","Connecting to driver: spark://CoarseGrainedScheduler@10.10.34.11:48069","E10","Connecting to driver: spark: //CoarseGrainedScheduler@<*>: <:NUM:>"
"15","17/06/09","20:10:42","INFO","executor.CoarseGrainedExecutorBackend","Successfully registered with driver","E11","Successfully registered with driver"
"16","17/06/09","20:10:42","INFO","executor.Executor","Starting executor ID 5 on host mesos-slave-07","E12","Starting executor ID <:NUM:> on host mesos-slave-<:NUM:>"
"17","17/06/09","20:10:42","INFO","util.Utils","Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 40984.","E7","Successfully started service <:*:> on port <:NUM:>."
