"EventId","EventTemplate","Occurrences"
"E0","Registered signal handlers for [TERM, HUP, INT]","1"
"E1","Changing view acls to: yarn,curi","1"
"E2","Changing <:*:> acls to: yarn,curi","3"
"E3","SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)","2"
"E4","Slf4jLogger started","1"
"E5","Starting remoting","1"
"E6","Remoting started; listening on addresses : [akka.tcp: //sparkExecutorActorSystem@mesos-slave-<:NUM:>: <:NUM:>]","1"
"E7","Successfully started service 'sparkExecutorActorSystem' on port <:NUM:>.","1"
"E8","Created local directory at /opt/hdfs/nodemanager/usercache/curi/appcache/application <:NUM:> <:NUM:>/blockmgr-70293f72-844a-4b39-9ad6-fb0ad7e364e4","1"
"E9","MemoryStore started with capacity <:NUM:>.<:NUM:> <*>","1"
"E10","Connecting to driver: spark: //CoarseGrainedScheduler@<*>: <:NUM:>","1"
"E11","Successfully registered with driver","1"
"E12","Starting executor ID <:NUM:> on host mesos-slave-<:NUM:>","1"
"E13","Successfully started service <:*:> on port <:NUM:>.","1"
"E14","Server created on <:NUM:>","1"
"E15","Trying to register BlockManager","1"
"E16","Registered BlockManager","1"
"E17","Got assigned task <:NUM:>","305"
"E18","Running task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>)","305"
"E19","Started reading broadcast variable <:NUM:>","37"
"E20","Block broadcast <:NUM:> piece0 stored as bytes in memory (estimated size <:NUM:>.<:NUM:> <*>, free <:NUM:>.<:NUM:> <*>)","7"
"E21","Reading broadcast variable <:NUM:> took <:NUM:> ms","37"
"E22","Block broadcast <:NUM:> stored as values in memory (estimated size <:NUM:>.<:NUM:> <*>, free <:NUM:>.<:NUM:> <*>)","37"
"E23","Partition rdd <:NUM:> <:NUM:> not found, computing it","75"
"E24","Input split: hdfs: //<*>: <:NUM:>/pjhe/logs/2kSOSP.log: <:NUM:>+<:NUM:>","45"
"E25","<*> is deprecated. Instead, use <*>","5"
"E26","Times: total = <:NUM:>, boot = <:NUM:>, init = <:NUM:>, finish = <:NUM:>","375"
"E27","Block <:*:> <:NUM:> <:*:> stored as bytes in memory (estimated size <:NUM:>.<:NUM:> <*>, free <:NUM:>.<:NUM:> <*>)","105"
"E28","Finished task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>). <:NUM:> bytes result sent to driver","300"
"E29","Found block rdd <:NUM:> <:NUM:> locally","257"
"E30","File Output Committer Algorithm version is <:NUM:>","30"
"E31","Saved output of task 'attempt <:NUM:> <:NUM:> m <:NUM:> <:NUM:>' to hdfs: //<*>: <:NUM:>/pjhe/test/<:NUM:>/ temporary/<:NUM:>/task <:NUM:> <:NUM:> m <:NUM:>","30"
"E32","attempt <:NUM:> <:NUM:> m <:NUM:> <:NUM:>: Committed","30"
