"EventId","EventTemplate","Occurrences"
"E0","Loaded Servicing Stack v6.<:NUM:>.<:NUM:>.<:NUM:> with Core: C: \\Windows\\winsxs\\amd64 microsoft-windows-servicingstack 31bf3856ad364e35 <:NUM:>.<:NUM:>.<:NUM:>.<:NUM:> none 681aa442f6fed7f0\\cbscore.dll","2"
"E1","<:NUM:>@<:NUM:>/<:NUM:>/<:NUM:>: <:NUM:>: <:NUM:>: <:NUM:>.<:NUM:> WcpInitialize (wcp.dll version <:IP:>) called (stack @<*>@<*>@<*>@<*>@<*>@<:HEX:>)","6"
"E2","Ending TrustedInstaller initialization.","1"
"E3","Starting the TrustedInstaller main loop.","2"
"E4","TrustedInstaller service starts successfully.","2"
"E5","SQM: Initializing online with Windows opt-in: False","2"
"E6","SQM: Cleaning up report files older than <:NUM:> days.","2"
"E7","SQM: Requesting upload of all unsent reports.","2"
"E8","SQM: Failed to start upload with file pattern: C: \\Windows\\servicing\\sqm\\* std.sqm, flags: <*>[ HRESULT = <*>- E FAIL]","2"
"E9","SQM: Failed to start standard sample upload. [ HRESULT = <*>- E FAIL]","2"
"E10","SQM: Queued <:NUM:> file(s) for upload with pattern: C: \\Windows\\servicing\\sqm\\* all.sqm, flags: <:HEX:>","2"
"E11","SQM: Warning: Failed to upload all unsent reports. [ HRESULT = <*>- E FAIL]","2"
"E12","No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.","2"
"E13","NonStart: Checking to ensure startup processing was not required.","2"
"E14","<:NUM:> IAdvancedInstallerAwareStore ResolvePendingTransactions (call <:NUM:>) (flags = <:NUM:>, progress = NULL, phase = <:NUM:>, pdwDisposition = @<:HEX:>","2"
"E15","<:NUM:> Creating NT transaction (seq <:NUM:>), objectname [ <:NUM:>] ""(null)""","2"
"E16","<:NUM:> Created NT transaction (seq <:NUM:>) result <*>handle @<:HEX:>","2"
"E17","<:NUM:>@<:NUM:>/<:NUM:>/<:NUM:>: <:NUM:>: <:NUM:>: <:NUM:>.<:NUM:> CSI perf trace:","1"
"E18","NonStart: Success, startup processing not required as expected.","2"
"E19","Startup processing thread terminated normally","2"
"E20","<:NUM:> CSI Store <:NUM:> (<*>initialized","1"
"E21","Session: <:NUM:> <:NUM:> initialized by client WindowsUpdateAgent.","308"
"E22","Warning: Unrecognized packageExtended attribute.","280"
"E23","Expecting attribute name [ HRESULT = <*>- CBS E MANIFEST INVALID ITEM]","224"
"E24","Failed to get next element [ HRESULT = <*>- CBS E MANIFEST INVALID ITEM]","224"
"E25","Failed to internally open package. [ HRESULT = <*>- CBS E INVALID PACKAGE]","18"
"E26","Read out cached package applicability for package: Package for KB3121255~31bf3856ad364e35~amd64~~<:IP:>, ApplicableState: <:NUM:>, CurrentState: <:NUM:>","1"
"E27","Read out cached package applicability for package: Package for <:*:> ApplicableState: <:NUM:>, CurrentState: <:NUM:>","541"
"E28","Read out cached package applicability for package: Microsoft-Windows-PlatformUpdate-Win7-SRV08R2-Package-TopLevel~31bf3856ad364e35~amd64~~<:NUM:>.<:NUM:>.<:NUM:>.<:NUM:>, ApplicableState: <:NUM:>, CurrentState: <:NUM:>","1"
"E29","Read out cached package applicability for package: <:*:> ApplicableState: <:NUM:>, CurrentState: <:NUM:>","15"
"E30","Failed to create backup log cab. [ HRESULT = <*>- ERROR INVALID FUNCTION]","2"
"E31","Reboot mark refs incremented to: <:NUM:>","1"
"E32","Scavenge: Starts","1"
"E33","<:NUM:>@<:NUM:>/<:NUM:>/<:NUM:>: <:NUM:>: <:NUM:>: <:NUM:>.<:NUM:> CSI Transaction @<*>initialized for deployment engine {d16d444c-56d8-11d5-882d-0080c847b195} with flags <:NUM:> and client id [ <:NUM:>] ""TI6.<:NUM:> <:NUM:>: <:NUM:>/""","1"
"E34","Scavenge: Begin CSI Store","1"
"E35","0000000a Performing <:NUM:> operations; <:NUM:> are not lock/unlock and follow:","1"
"E36","0000000b Store coherency cookie matches last scavenge cookie, skipping scavenge.","1"
"E37","0000000c ICSITransaction: : Commit calling IStorePendingTransaction: : Apply - coldpatching= FALSE applyflags= <:NUM:>","1"
"E38","0000000d Creating NT transaction (seq <:NUM:>), objectname [ <:NUM:>] ""(null)""","1"
"E39","0000000e Created NT transaction (seq <:NUM:>) result <*>handle @<:HEX:>","1"
"E40","0000000f@<:NUM:>/<:NUM:>/<:NUM:>: <:NUM:>: <:NUM:>: <:NUM:>.<:NUM:> CSI perf trace:","1"
"E41","Scavenge: Completed, disposition: 0X1","1"
"E42","<:NUM:>@<:NUM:>/<:NUM:>/<:NUM:>: <:NUM:>: <:NUM:>: <:NUM:>.<:NUM:> CSI <:*:> <:*:>","2"
"E43","Reboot mark refs: <:NUM:>","1"
"E44","Idle processing thread terminated normally","1"
"E45","Ending the TrustedInstaller main loop.","1"
"E46","Starting TrustedInstaller finalization.","1"
"E47","Ending TrustedInstaller <:*:>","2"
"E48","Starting TrustedInstaller <:*:>","1"
"E49","Loading offline registry hive: SOFTWARE, into registry key '{bf1a281b-ad7b-<:NUM:>-ac95-f47682990ce7}GLOBALROOT/Device/HarddiskVolumeShadowCopy2/Windows/System32/config/SOFTWARE' from path '\\\\?\\GLOBALROOT\\Device\\HarddiskVolumeShadowCopy2\\Windows\\System32\\config\\SOFTWARE'.","1"
"E50","Loading offline registry hive: <:*:> into registry key <:*:> from path <:*:>","7"
"E51","Offline image is: read-only","1"
"E52","Disabling manifest caching, because the image is not writeable.","1"
"E53","<:NUM:>@<:NUM:>/<:NUM:>/<:NUM:>: <:NUM:>: <:NUM:>: <:NUM:>.<:NUM:> <:*:> <:*:> <:*:>","2"
"E54","0000000a CSI Store <:NUM:> (<*>initialized","1"
"E55","Session: <:NUM:> <:NUM:> initialized by client <:*:>","301"
"E56","Unloading offline registry hive: {bf1a281b-ad7b-<:NUM:>-ac95-f47682990ce7}GLOBALROOT/Device/HarddiskVolumeShadowCopy2/Windows/System32/config/SOFTWARE","1"
"E57","Unloading offline registry hive: <:*:>","7"
"E58","<:*:> CSI Store <:NUM:> (<*>initialized","1"
