"EventId","EventTemplate","Occurrences"
"E0","Notification time out: <:NUM:>","37"
"E1","Received connection request <*>","299"
"E2","Send worker leaving thread","262"
"E3","Interrupted while waiting for message on queue","314"
"E4","Connection broken for id <:NUM:>, my id = <:NUM:>, error =","291"
"E5","Interrupting SendWorker","266"
"E6","Closed socket connection for client <*> which had sessionid <:HEX:>","44"
"E7","caught end of stream exception","37"
"E8","Client attempting to renew session <:HEX:> at <*>","1"
"E9","Client attempting to <:*:> <:*:> <:*:> at <*>","43"
"E10","Established session <:HEX:> with negotiated timeout <:NUM:> for client <*>","50"
"E11","Accepted socket connection from <*>","48"
"E12","Unexpected Exception:","1"
"E13","Connection request from old client <*>; will be dropped if server is in r-o mode","39"
"E14","Server environment: user.dir= /","1"
"E15","Cannot open channel to <:NUM:> at election address <*>","86"
"E16","Processed session termination for sessionid: <:HEX:>","47"
"E17","Expiring session <:HEX:>, timeout of 10000ms exceeded","9"
"E18","******* GOODBYE <*> ********","19"
"E19","LOOKING","4"
"E20","My election bind port: <*><*>","1"
"E21","Have smaller server identifier, so dropping the connection: (<:NUM:>, <:NUM:>)","1"
"E22","FOLLOWING","2"
"E23","New election. My id = <:NUM:>, proposed zxid= <:HEX:>","1"
"E24","Server environment: <:*:> <:*:>","6"
"E25","FOLLOWING - LEADER ELECTION TOOK - <:NUM:>","2"
"E26","Notification: <:NUM:> (n.leader), <:HEX:> (n.zxid), <:HEX:> (n.round), LEADING (n.state), <:NUM:> (n.sid), <:HEX:> (n.peerEPoch), LOOKING (my state)","1"
"E27","autopurge.snapRetainCount set to <:NUM:>","1"
"E28","Server environment: java.vendor= Oracle Corporation","2"
"E29","Revalidating client: <:HEX:>","3"
"E30","Server environment: zookeeper.version= <:NUM:>.<:NUM:>.<:NUM:>-<:NUM:>, built on <:NUM:>/<:NUM:>/<:NUM:> <:NUM:>: <:NUM:> GMT","1"
"E31","Closed socket connection for client <*> (no session established for client)","4"
"E32","Exception causing close of session <:HEX:> due to java.io.IOException: ZooKeeperServer not running","3"
"E33","Notification: <:NUM:> (n.leader), <:HEX:> (n.zxid), <:HEX:> (n.round), <:*:> (n.state), <:NUM:> (n.sid), <:HEX:> (n.peerEPoch), LOOKING (my state)","1"
"E34","Notification: <:NUM:> (n.leader), <:HEX:> (n.zxid), <:HEX:> (n.round), <:*:> (n.state), <:NUM:> (n.sid), <:HEX:> (n.peerEPoch), <:*:> (my state)","10"
"E35","tickTime set to <:NUM:>","1"
"E36","Unexpected exception causing shutdown while sock still open","12"
"E37","Got user-level KeeperException when processing sessionid: <:HEX:> type: create cxid: <:HEX:> zxid: <:HEX:> txntype: <:NUM:> reqpath: n/a Error Path: /home/curi/.zookeeper Error: KeeperErrorCode = NodeExists for /home/curi/.zookeeper","1"
"E38","Expiring session <:HEX:>, timeout of <:*:> exceeded","31"
"E39","Starting quorum peer","1"
"E40","Snapshotting: <:HEX:> to /var/lib/zookeeper/version-<:NUM:>/snapshot.300000dcd","1"
"E41","autopurge.purgeInterval set to <:NUM:>","3"
"E42","Snapshotting: <:HEX:> to <:*:>","1"
"E43","Follower sid: <:NUM:> : info : org.apache.zookeeper.server.quorum.QuorumPeer$QuorumServer@33557fe4","1"
"E44","maxSessionTimeout set to <:NUM:>","1"
"E45","Server environment: java.class.path= /etc/zookeeper/conf: /usr/share/java/jline.jar: /usr/share/java/log4j-<:NUM:>.<:NUM:>.jar: /usr/share/java/xercesImpl.jar: /usr/share/java/xmlParserAPIs.jar: /usr/share/java/netty.jar: /usr/share/java/slf4j-api.jar: /usr/share/java/slf4j-log4j12.jar: /usr/share/java/zookeeper.jar","1"
"E46","Have quorum of supporters; starting up and setting last processed zxid: <:HEX:>","1"
"E47","shutdown of request processor complete","1"
"E48","First is <:HEX:>","1"
"E49","Reading snapshot /var/lib/zookeeper/version-<:NUM:>/snapshot.b00000084","1"
"E50","Sending DIFF","1"
"E51","Getting a snapshot from leader","2"
"E52","minSessionTimeout set to <:NUM:>","2"
